ticker,GSL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-08-18,-3.9267
2008-08-19,0.1362
2008-08-20,0.1361
2008-08-21,-0.9511
2008-08-22,1.7284000000000002
2008-08-25,-2.9126
2008-08-26,-0.6944
2008-08-27,-0.6993
2008-08-28,-0.1408
2008-08-29,0.4231
2008-09-02,0.4213
2008-09-03,1.3986
2008-09-04,-0.1379
2008-09-05,-0.1381
2008-09-08,-0.2766
2008-09-09,-2.4965
2008-09-10,-1.2802
2008-09-11,-0.1873
2008-09-12,0.7651
2008-09-15,-0.8596
2008-09-16,0.1445
2008-09-17,-2.5974
2008-09-18,2.6667
2008-09-19,-0.1443
2008-09-22,-3.9017
2008-09-23,-2.5564
2008-09-24,-2.1605
2008-09-25,1.7349999999999999
2008-09-26,-1.8605
2008-09-29,2.2117
2008-09-30,2.0093
2008-10-01,-1.0989
2008-10-02,-3.4920999999999998
2008-10-03,-2.9605
2008-10-06,-16.9492
2008-10-07,-7.1429
2008-10-08,-14.0659
2008-10-09,5.3708
2008-10-10,-10.4369
2008-10-13,10.0271
2008-10-14,3.202
2008-10-15,-6.6826
2008-10-16,-2.8133
2008-10-17,-2.3684
2008-10-20,2.4259
2008-10-21,5.0
2008-10-22,-1.0025
2008-10-23,-6.3291
2008-10-24,-9.1892
2008-10-27,-4.4643
2008-10-28,-1.2461
2008-10-29,-8.5174
2008-10-30,3.444
2008-10-31,2.6709
2008-11-03,-1.9481000000000002
2008-11-04,11.2583
2008-11-05,0.5952
2008-11-06,-3.0825
2008-11-07,1.0436
2008-11-10,1.8127
2008-11-11,-8.9021
2008-11-12,-8.7948
2008-11-13,11.0714
2008-11-14,-3.537
2008-11-17,1.6667
2008-11-18,0.0
2008-11-19,-3.2787
2008-11-20,-4.0441
2008-11-21,-4.9808
2008-11-24,3.629
2008-11-25,-0.3891
2008-11-26,-0.3906
2008-11-28,4.3137
2008-12-01,-0.3759
2008-12-02,-1.5093999999999999
2008-12-03,-3.0651
2008-12-04,-1.1858
2008-12-05,-4.0
2008-12-08,4.1667
2008-12-09,12.0
2008-12-10,13.5714
2008-12-11,-0.9434
2008-12-12,0.3175
2008-12-15,-8.8608
2008-12-16,-3.125
2008-12-17,3.5842
2008-12-18,-9.342600000000001
2008-12-19,-4.5802
2008-12-22,0.0
2008-12-23,-2.4
2008-12-24,2.0492
2008-12-26,-3.6145
2008-12-29,-1.6667
2008-12-30,-0.8475
2008-12-31,22.2222
2009-01-02,22.3776
2009-01-05,-8.0
