ticker,MBIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-27,5.0
2017-10-30,1.7856999999999998
2017-10-31,0.3509
2017-11-01,1.4569
2017-11-02,3.3314
2017-11-03,-1.2229
2017-11-06,1.6320000000000001
2017-11-07,-1.1628
2017-11-08,0.5042
2017-11-09,-1.6165
2017-11-10,-0.7932
2017-11-13,0.3427
2017-11-14,0.683
2017-11-15,-0.7914
2017-11-16,-0.114
2017-11-17,0.5705
2017-11-20,0.2836
2017-11-21,-0.7919
2017-11-22,0.6271
2017-11-24,0.6799
2017-11-27,0.2251
2017-11-28,-0.3369
2017-11-29,0.3944
2017-11-30,2.862
2017-12-01,2.2913
2017-12-04,1.3867
2017-12-05,1.5781
2017-12-06,1.6572
2017-12-07,1.8849
2017-12-08,0.35
2017-12-11,4.3847
2017-12-12,0.0955
2017-12-13,-1.526
2017-12-14,0.9201
2017-12-15,-3.0784
2017-12-18,-1.6873
2017-12-19,0.7067
2017-12-20,0.9524
2017-12-21,0.6455
2017-12-22,-2.4173999999999998
2017-12-26,0.3539
2017-12-27,-0.5038
2017-12-28,0.0
2017-12-29,-0.3544
2018-01-02,1.4228
2018-01-03,-1.7034
2018-01-04,0.1019
2018-01-05,0.2037
2018-01-08,3.252
2018-01-09,-2.7559
2018-01-10,1.2652
2018-01-11,0.1
2018-01-12,5.5417
2018-01-16,1.4664
2018-01-17,-0.9324
2018-01-18,0.4235
2018-01-19,1.5933000000000002
2018-01-22,0.0923
2018-01-23,0.6452
2018-01-24,-4.304
2018-01-25,-1.2919
2018-01-26,-0.9695
2018-01-29,3.1326
2018-01-30,-3.1324
2018-01-31,-0.539
2018-02-01,5.468
2018-02-02,-3.7833
2018-02-05,-2.7184
2018-02-06,1.7964
2018-02-07,-0.1961
2018-02-08,-1.8173
2018-02-09,0.1501
2018-02-12,0.3996
2018-02-13,-0.1493
2018-02-14,2.1425
2018-02-15,0.2439
2018-02-16,1.4599
2018-02-20,-0.9113
2018-02-21,0.6292
2018-02-22,-1.9721
2018-02-23,1.2758
2018-02-26,0.4845
2018-02-27,-1.109
2018-02-28,-0.0488
2018-03-01,3.7561
2018-03-02,1.3164
2018-03-05,5.1508
2018-03-06,-0.8826
2018-03-07,-0.8014
2018-03-08,0.0898
2018-03-09,0.852
2018-03-12,-1.5562
2018-03-13,0.4065
2018-03-14,0.3599
2018-03-15,1.4382
2018-03-16,0.1772
2018-03-19,-0.2654
2018-03-20,-0.6208
2018-03-21,0.9817
2018-03-22,0.4419
