ticker,RCBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-0.8065
2000-02-04,-2.168
2000-03-07,0.0
2000-04-14,-5.2632
2000-04-26,2.924
2000-05-08,2.2727
2000-05-09,-3.3333
2000-05-10,5.7471
2000-06-07,-4.8913
2000-07-14,2.8571
2000-08-14,-2.7778
2000-08-16,-5.4286
2000-08-24,9.3656
2000-10-16,3.3149
2000-11-06,1.0695000000000001
2000-11-07,1.5873
2000-11-15,-1.8229
2000-12-12,-0.2653
2000-12-15,4.5213
2001-02-02,6.9211
2001-03-09,-1.5707
2001-04-09,-2.1277
2001-04-12,8.6957
2001-04-18,0.0
2001-04-19,4.0
2001-04-25,0.0
2001-05-04,3.8462
2001-05-08,-7.4074
2001-05-10,0.0
2001-06-12,-1.0
2001-07-30,3.0303
2001-08-03,0.2353
2001-08-15,-0.2347
2001-08-20,0.2353
2001-08-23,9.5462
2001-08-28,-1.7856999999999998
2001-10-18,8.8545
2001-10-31,-4.7937
2002-03-06,0.0
2002-03-08,4.386
2002-03-18,-4.2017
2002-05-10,8.7719
2002-05-13,-1.6129
2002-05-29,0.0
2002-08-12,0.0
2002-10-16,0.0
2002-11-06,23.1475
2003-01-14,-5.4846
2003-01-22,0.7042
2003-01-30,2.0979
2003-02-12,7.0137
2003-02-18,1.7665
2003-02-19,-6.9182
2003-02-25,0.0
2003-02-27,5.4054
2003-02-28,0.641
2003-07-14,-2.2293
2003-10-28,0.9772
2003-11-04,1.9355
2003-12-16,3.7975
2003-12-18,2.439
2003-12-19,0.119
2004-01-30,1.3674
2004-04-20,0.3167
2004-04-30,8.7465
2004-05-03,2.1505
2004-06-07,-9.2105
2004-06-21,0.058
2004-06-28,4.2874
2004-06-29,11.1111
2004-07-16,-8.0
2004-07-20,1.087
2004-07-21,2.1505
2004-08-05,-1.5579
2004-08-06,1.5825
2004-09-02,-0.7895
2004-11-04,1.3263
2004-11-22,-0.5236
2004-11-24,2.1053
2005-01-07,-1.8041
2005-01-18,7.0866
2005-01-25,-5.8824
2005-03-29,9.8958
2005-03-31,0.0
2005-04-06,4.2654
2005-04-12,1.8182
2005-04-14,-5.3571
2005-04-19,0.0
2005-04-20,3.7736
2005-05-10,-5.4545
2005-05-25,6.7308
2005-06-21,-4.5045
2005-07-21,6.1321
2005-09-09,8.4444
2005-09-15,1.6393
2005-10-03,1.6129
2005-10-04,0.0
2005-10-05,0.7937
2005-10-06,3.9370000000000003
2005-10-07,-2.2727
2005-10-10,2.3256
