ticker,ALIM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-22,0.0
2010-04-23,0.0909
2010-04-26,0.3633
2010-04-27,-0.3167
2010-04-28,0.4085
2010-04-29,-0.9946
2010-04-30,-0.4566
2010-05-03,0.5505
2010-05-04,-1.4599
2010-05-05,-0.3704
2010-05-06,-1.487
2010-05-07,-0.3774
2010-05-10,0.0
2010-05-11,-0.1894
2010-05-12,-0.3795
2010-05-13,0.0952
2010-05-14,0.0
2010-05-17,-1.1418
2010-05-18,-7.796
2010-05-19,-8.977
2010-05-20,-9.0596
2010-05-21,0.8827
2010-05-24,3.625
2010-05-25,-0.6031
2010-05-26,-0.3641
2010-05-27,-1.3397999999999999
2010-05-28,7.9012
2010-06-01,6.865
2010-06-02,11.4561
2010-06-03,4.707
2010-06-04,-11.8349
2010-06-07,-6.3476
2010-06-08,-7.8889
2010-06-09,0.3619
2010-06-10,5.7692
2010-06-11,-1.0227
2010-06-14,5.0517
2010-06-15,3.4973
2010-06-16,0.4224
2010-06-17,0.7361
2010-06-18,-4.3841
2010-06-21,5.348
2010-06-22,0.5194
2010-06-23,0.0
2010-06-24,0.5155
2010-06-25,-9.538499999999999
2010-06-28,-8.39
2010-06-29,-5.5693
2010-06-30,-2.4902
2010-07-01,-1.3441
2010-07-02,-2.4523
2010-07-06,-2.3743
2010-07-07,1.5737
2010-07-08,2.3944
2010-07-09,-2.8886
2010-07-12,-1.6997
2010-07-13,5.4755
2010-07-14,-4.3716
2010-07-15,-5.4286
2010-07-16,1.6616
2010-07-19,-0.2972
2010-07-20,0.5961
2010-07-21,-1.037
2010-07-22,4.7904
2010-07-23,-3.5714
2010-07-26,6.6667
2010-07-27,1.8056
2010-07-28,-1.6371
2010-07-29,0.1387
2010-07-30,0.9695
2010-08-02,3.5665
2010-08-03,5.4305
2010-08-04,-0.5025
2010-08-05,-2.399
2010-08-06,-0.3881
2010-08-09,-0.6494
2010-08-10,-6.7974
2010-08-11,-5.4698
2010-08-12,0.8902
2010-08-13,4.5588
2010-08-16,-2.3207
2010-08-17,12.887
2010-08-18,2.0408
2010-08-19,-5.25
2010-08-20,2.9024
2010-08-23,1.4102999999999999
2010-08-24,-1.5171000000000001
2010-08-25,2.6958
2010-08-26,3.75
2010-08-27,-1.5663
2010-08-30,-0.8568
2010-08-31,5.5556
2010-09-01,0.117
2010-09-02,2.1028000000000002
2010-09-03,3.3181
2010-09-07,-2.3256
2010-09-08,1.8141
2010-09-09,-1.0022
2010-09-10,5.0619
