ticker,FMTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-19,95.0
2020-06-22,2.4359
2020-06-23,3.1289
2020-06-24,6.1165
2020-06-25,5.215
2020-06-26,-2.1739
2020-06-29,1.0222
2020-06-30,2.2657
2020-07-01,-0.2581
2020-07-02,4.27
2020-07-06,-10.7756
2020-07-07,1.5299
2020-07-08,1.9405999999999999
2020-07-09,-0.6943
2020-07-10,-1.8042
2020-07-13,-11.5067
2020-07-14,3.8931
2020-07-15,-1.6238000000000001
2020-07-16,-3.5297
2020-07-17,-2.6323
2020-07-20,1.0543
2020-07-21,1.5249000000000001
2020-07-22,-7.4835
2020-07-23,-1.2817
2020-07-24,4.0104
2020-07-27,-0.1664
2020-07-28,-2.7508
2020-07-29,-1.7713999999999999
2020-07-30,-1.1053
2020-07-31,2.8235
