ticker,CNNM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-25,0.0
2015-03-06,60.0
2015-03-09,75.0
2015-03-10,19.6429
2015-03-11,49.2537
2015-03-12,20.0
2015-03-13,4.1667
2015-03-17,20.0
2015-03-18,0.0
2015-04-09,-0.6667
2015-04-14,0.6711
2015-04-28,0.0
2015-04-30,-13.3333
2015-05-01,15.3846
2015-05-21,-13.3333
2015-06-10,0.0
2015-06-25,-7.6923
2015-07-10,16.6667
2015-07-16,0.0
2015-10-12,6.4286
2015-10-13,5.3690999999999995
2015-10-15,8.2803
2015-10-19,31.7647
2015-11-06,-23.6607
2015-11-13,-8.7719
2015-11-17,15.3846
2015-11-18,5.5556
2015-11-20,-2.6316
2015-12-01,8.1081
2015-12-03,-0.5
2015-12-04,15.5779
2015-12-07,0.0
2016-03-28,8.6957
2016-04-13,-20.0
2016-05-12,-25.0
2016-05-19,-33.3333
2016-05-25,-49.0
2016-05-31,-50.9804
2016-07-07,-68.0
2017-03-03,537.5
2017-03-22,-88.2353
2019-01-09,0.0
2019-02-08,400.0
2019-03-14,0.0
2019-05-15,-4.0
2019-06-25,4.1667
2019-07-15,-80.0
2019-08-29,0.0
2019-10-14,0.0
2019-10-25,-16.6667
2019-12-10,20.0
2020-03-06,250.0
2020-03-23,0.0
2020-04-27,47.619
2020-05-05,-19.3548
2020-05-07,-88.0
2020-05-14,-13.3333
2020-06-05,53.8462
2020-06-11,-50.0
2020-07-07,100.0
2020-07-09,-32.5
2020-07-14,48.1481
2020-07-20,150.0
2020-07-24,-25.0
