ticker,WQNI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-04,111.0577
2000-02-07,-12.9841
2000-02-08,-6.8063
2000-02-09,-9.8315
2000-02-10,-2.8037
2000-02-11,-0.9615
2000-02-14,-17.7994
2000-02-15,25.9843
2000-02-16,-2.8125
2000-02-17,-0.3215
2000-02-18,2.5806
2000-02-22,23.5849
2000-02-23,0.2545
2000-02-24,8.3756
2000-02-25,16.6276
2000-02-28,15.6627
2000-02-29,-5.5556
2000-03-01,-7.7206
2000-03-02,1.7928
2000-03-03,-0.5871
2000-03-06,-5.9055
2000-03-07,-12.1339
2000-03-08,11.9048
2000-03-09,5.1064
2000-03-10,11.7409
2000-03-13,-4.3478
2000-03-14,-14.7727
2000-03-15,-4.0
2000-03-16,1.8519
2000-03-17,0.9091
2000-03-20,-9.4595
2000-03-21,-0.995
2000-03-22,-9.5477
2000-03-23,-3.8889
2000-03-24,1.7341
2000-03-27,6.8182
2000-03-28,-8.2447
2000-03-29,-7.2464
2000-03-30,-4.375
2000-03-31,29.4118
2000-04-03,-9.0909
2000-04-04,-9.4444
2000-04-05,-2.454
2000-04-06,-4.4025
2000-04-07,-5.9211
2000-04-10,-4.1958
2000-04-11,-9.4891
2000-04-12,-11.2903
2000-04-13,-5.4545
2000-04-14,-11.538499999999999
2000-04-17,-10.8696
2000-04-18,-2.439
2000-04-19,20.0
2000-04-20,-9.375
2000-04-24,1.1494
2000-04-25,0.0
2000-04-26,-2.2727
2000-04-27,-6.9767
2000-04-28,-15.0
2000-05-01,5.8824
2000-05-02,1.3889
2000-05-03,1.3699
2000-05-04,-3.3784
2000-05-05,16.0839
2000-05-08,6.0241
2000-05-09,5.1136
2000-05-10,-11.3514
2000-05-11,-6.0976
2000-05-12,0.0
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,0.0
2000-05-18,-7.7922
2000-05-19,0.0
2000-05-22,-9.8592
2000-05-23,-10.9375
2000-05-24,0.8772
2000-05-25,9.5652
2000-05-26,0.0
2000-05-30,-4.7619
2000-05-31,6.6667
2000-06-01,-9.375
2000-06-02,-3.4483
2000-06-05,-1.7856999999999998
2000-06-06,-1.8182
2000-06-07,-1.8519
2000-06-08,16.0377
2000-06-09,10.5691
2000-06-12,-0.7353
2000-06-13,-0.7407
2000-06-14,1.4925
2000-06-15,0.0
2000-06-16,-3.6765
2000-06-19,-3.8167999999999997
2000-06-20,-2.3810000000000002
2000-06-21,0.0
2000-06-22,-5.6911000000000005
2000-06-23,-3.4483
