ticker,RSAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-04-17,-17.4528
2002-08-09,1.1843
2002-08-12,0.0
2002-08-13,-2.2727
2002-08-14,3.4884
2002-08-15,-3.3708
2002-08-19,1.4535
2002-12-06,12.568200000000001
2003-02-05,-9.0722
2003-02-06,0.0
2003-05-20,2.6694
2003-05-22,0.0
2003-05-23,0.0
2003-08-19,5.1196
2003-08-21,2.0842
2003-09-17,0.5657
2003-09-29,9.375
2003-09-30,0.0
2003-10-22,-1.9048
2003-12-03,4.8544
2004-03-30,19.4476
2004-04-07,-5.0
2004-04-26,-0.4934
2004-06-29,-9.3324
2004-07-13,7.6923
2004-07-27,6.25
2004-08-18,-9.2437
2004-08-26,3.7037
2004-09-17,4.0919
2004-11-18,-1.7241
2004-12-03,-1.4035
2005-01-07,2.4678
2005-01-10,1.2216
2005-01-24,3.4483
2005-02-11,-3.3333
2005-02-14,3.2759
2005-03-29,3.9919000000000002
2005-04-01,0.0
2005-04-05,0.0
2005-04-20,0.0
2005-06-15,1.6532
2005-07-18,-3.4279
2005-07-20,-0.4458
2005-07-26,-0.4975
2005-07-29,0.0
2005-08-17,9.8333
2005-08-18,0.1517
2005-09-02,-3.0303
2005-09-08,2.3438
2005-09-19,-2.2901
2005-10-03,1.2559
2005-10-06,0.0
2005-10-27,-0.3101
2005-10-28,-2.0218
2005-11-25,0.0
2005-12-12,0.4785
2005-12-21,0.0
2005-12-23,3.1746
2006-01-17,-3.0769
2006-01-30,0.0
2006-01-31,1.5873
2006-02-21,-1.5625
2006-02-28,0.0
2006-03-21,0.4785
2006-03-24,19.0476
2006-04-04,-10.6667
2006-04-05,-2.9851
2006-04-11,-3.0769
2006-04-12,1.5873
2006-04-18,0.0
2006-04-19,0.0
2006-04-25,0.7813
2006-04-27,1.2403
2006-04-28,-1.2251
2006-05-12,0.0
2006-05-15,0.0
2006-05-23,-0.7752
2006-05-24,0.0
2006-05-26,1.7187000000000001
2006-06-02,-1.6897
2006-06-06,0.0
2006-06-12,0.7221
2006-06-13,-0.2494
2006-06-14,0.0
2006-06-16,0.25
2006-06-19,-0.2494
2006-06-21,1.875
2006-06-26,0.0
2006-06-27,1.0735999999999999
2006-06-28,0.607
2006-06-29,-1.5083
2006-07-06,0.0
2006-07-10,-1.9908000000000001
2006-07-11,3.125
2006-07-14,-3.0303
2006-07-17,0.0
2006-07-18,0.0
2006-07-19,2.3438
2006-07-28,2.2595
2006-08-01,-4.1505
2006-08-03,0.3115
