ticker,ADMQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-06,0.0
2020-03-19,0.0
2020-03-20,-50.0
2020-04-13,100.0
2020-04-14,-50.0
2020-05-04,100.0
2020-05-11,25.0
2020-05-19,-20.0
2020-05-22,25.0
2020-05-29,-72.0
2020-06-02,0.0
2020-06-03,71.2857
2020-06-04,2.1685
2020-06-05,-2.0408
2020-06-08,-16.6667
2020-06-09,10.0
2020-06-10,4.5455
2020-06-11,-19.7826
2020-06-12,24.6612
2020-06-15,-2.1739
2020-06-16,-2.0
2020-06-17,-27.4376
2020-06-18,-25.0
2020-06-19,0.0
2020-06-22,-6.5333
2020-06-23,4.3153
2020-06-24,-7.6923
2020-06-25,-5.7407
2020-06-29,22.7701
2020-06-30,-11.9859
2020-07-01,-18.1818
2020-07-02,27.7778
2020-07-06,-13.0435
2020-07-07,0.0
2020-07-08,25.0
2020-07-09,0.0
2020-07-10,-27.84
2020-07-13,38.5809
2020-07-14,-28.0
2020-07-15,0.0
2020-07-16,-10.8889
2020-07-20,-11.4713
2020-07-21,40.8451
2020-07-22,3.0
2020-07-23,-35.9223
2020-07-24,50.0
2020-07-27,-35.3535
2020-07-28,26.7188
2020-07-29,40.5672
2020-07-31,-15.7895
