ticker,NLOK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.9851
2000-01-04,-4.6154
2000-01-05,-5.9908
2000-01-06,-5.7598
2000-01-07,7.9324
2000-01-10,9.3976
2000-01-11,-8.1498
2000-01-12,2.3981
2000-01-13,2.459
2000-01-14,-3.3143000000000002
2000-01-18,3.5461
2000-01-19,3.1963
2000-01-20,6.969
2000-01-21,-3.5677
2000-01-24,0.2681
2000-01-25,-0.7487
2000-01-26,-0.3233
2000-01-27,-8.1081
2000-01-28,-5.7647
2000-01-31,0.0
2000-02-01,1.4981
2000-02-02,5.5351
2000-02-03,7.8088999999999995
2000-02-04,1.4054
2000-02-07,8.209
2000-02-08,-3.7438000000000002
2000-02-09,2.9683
2000-02-10,9.9404
2000-02-11,-4.8825
2000-02-14,-2.6616
2000-02-15,0.0
2000-02-16,3.8086
2000-02-17,-3.81
2000-02-18,0.1467
2000-02-22,0.4883
2000-02-23,4.9563
2000-02-24,-1.6667
2000-02-25,8.0979
2000-02-28,-2.439
2000-02-29,2.0536
2000-03-01,0.4374
2000-03-02,-4.007
2000-03-03,5.2632
2000-03-06,4.4828
2000-03-07,1.8152
2000-03-08,2.107
2000-03-09,2.0635
2000-03-10,0.5443
2000-03-13,-5.2591
2000-03-14,-6.0408
2000-03-15,-4.2572
2000-03-16,1.6334
2000-03-17,1.9643000000000002
2000-03-20,-1.4886
2000-03-21,-0.8
2000-03-22,3.9427
2000-03-23,0.0
2000-03-24,1.1207
2000-03-27,-3.0691
2000-03-28,2.9024
2000-03-29,-1.7949000000000002
2000-03-30,0.2611
2000-03-31,4.3403
2000-04-03,-17.8869
2000-04-04,-5.7751
2000-04-05,10.1075
2000-04-06,1.5625
2000-04-07,2.5
2000-04-10,-7.8799
2000-04-11,-3.1059
2000-04-12,-2.3647
2000-04-13,-1.6146
2000-04-14,-7.9869
2000-04-17,13.1986
2000-04-18,6.7227
2000-04-19,5.6102
2000-04-20,-11.2768
2000-04-24,-7.1429
2000-04-25,6.7873
2000-04-26,-6.4619
2000-04-27,7.5878
2000-04-28,5.1579
2000-05-01,-1.001
2000-05-02,-0.4044
2000-05-03,-4.9746
2000-05-04,4.3803
2000-05-05,-0.9212
2000-05-08,-1.343
2000-05-09,1.3613
2000-05-10,-6.095
2000-05-11,0.5501
2000-05-12,-0.9847
2000-05-15,3.3149
2000-05-16,3.5294
2000-05-17,8.2645
2000-05-18,-3.9122
2000-05-19,-0.993
2000-05-22,-0.5015
2000-05-23,-6.0484
