ticker,NSMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-17,4.7619
2005-03-18,9.0909
2005-03-21,0.0
2005-03-23,-16.6667
2005-04-06,20.0
2005-04-11,1.6667
2005-04-12,-3.2787
2005-04-14,-6.7797
2005-04-20,-7.2727
2005-04-25,-27.451
2005-04-26,-8.1081
2005-04-27,8.8235
2005-04-29,8.1081
2005-05-04,-25.0
2005-05-06,-10.8333
2005-05-10,49.5327
2005-05-11,-5.0
2005-05-12,18.4211
2005-05-13,-6.6667
2005-05-17,-9.5238
2005-05-20,5.2632
2005-05-25,0.0
2005-05-26,0.0
2005-05-27,0.0
2005-05-31,-10.0
2005-06-02,-19.4444
2005-06-03,34.4828
2005-06-06,2.5641
2005-06-10,0.0
2005-06-16,0.0
2005-06-17,0.0
2005-06-29,-37.5
2005-07-26,60.0
2005-07-27,5.0
2005-07-29,38.0952
2005-08-05,3.4483
2005-08-08,-8.3333
2005-08-09,-3.6364
2005-08-12,0.0
2005-08-17,1.8868
2005-08-18,0.0
2005-08-19,0.0
2005-08-23,-1.8519
2005-08-24,0.0
2005-08-25,1.8868
2005-08-26,0.0
2005-08-29,-0.9259
2005-08-30,4.6729
2005-08-31,28.5714
2005-09-01,94.4444
2005-09-02,45.7143
2005-09-06,24.0196
2005-09-07,-41.1067
2005-09-08,-16.1074
2005-09-09,28.8
2005-09-12,45.9627
2005-09-13,6.383
2005-09-14,-13.6
2005-09-15,9.2593
2005-09-16,-2.5423999999999998
2005-09-19,-4.7826
2005-09-20,-7.7626
2005-09-21,4.4554
2005-09-22,10.9005
2005-09-23,-4.7009
2005-09-26,-5.8296
2005-09-27,-8.5714
2005-09-28,-14.0625
2005-09-29,-9.0909
2005-09-30,-10.6667
2005-10-03,-6.7164
2005-10-04,-10.4
2005-10-05,-4.4643
2005-10-06,-15.8879
2005-10-07,-16.6667
2005-10-10,30.6667
2005-10-11,-7.1429
2005-10-12,-3.2967
2005-10-13,-2.2727
2005-10-14,4.6512
2005-10-17,0.0
2005-10-18,-6.6667
2005-10-19,38.0952
2005-10-20,4.3103
2005-10-21,-17.3554
2005-10-24,-10.0
2005-10-25,-5.5556
2005-10-26,5.8824
2005-10-27,0.0
2005-10-28,13.3333
2005-10-31,-16.6667
2005-11-01,-2.3529
2005-11-02,-12.0482
2005-11-03,-20.5479
2005-11-04,22.4138
2005-11-07,-8.4507
2005-11-08,-44.6154
2005-11-09,-2.7778
2005-11-10,22.8571
2005-11-11,4.6512
2005-11-14,-11.1111
