ticker,PFS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-01-16,55.0
2003-01-17,2.2580999999999998
2003-01-21,-1.7666
2003-01-22,-0.3211
2003-01-23,0.8376
2003-01-24,0.0
2003-01-27,-0.7668
2003-01-28,0.2576
2003-01-29,0.0
2003-01-30,-1.0918
2003-01-31,0.3896
2003-02-03,0.4528
2003-02-04,0.0644
2003-02-05,-0.3218
2003-02-06,-0.1937
2003-02-07,-1.0349
2003-02-10,-1.0458
2003-02-11,-0.9247
2003-02-12,1.0
2003-02-13,-0.7921
2003-02-14,0.7984
2003-02-18,-0.066
2003-02-19,0.3303
2003-02-20,0.1975
2003-02-21,0.3285
2003-02-24,-0.262
2003-02-25,-0.197
2003-02-26,-0.1974
2003-02-27,0.1978
2003-02-28,0.3289
2003-03-03,0.6557
2003-03-04,-0.7166
2003-03-05,0.3937
2003-03-06,0.3922
2003-03-07,0.8464
2003-03-10,-0.9684
2003-03-11,-0.1304
2003-03-12,-0.5222
2003-03-13,0.6562
2003-03-14,0.0
2003-03-17,0.0652
2003-03-18,0.3909
2003-03-19,-0.1298
2003-03-20,0.065
2003-03-21,1.4935
2003-03-24,-0.5118
2003-03-25,0.9003
2003-03-26,0.6373
2003-03-27,-1.6465999999999998
2003-03-28,0.9015
2003-03-31,0.8934
2003-04-01,-0.0633
2003-04-02,1.0759
2003-04-03,0.1879
2003-04-04,1.8125
2003-04-07,-0.9208
2003-04-08,0.9294
2003-04-09,-0.2455
2003-04-10,-1.4154
2003-04-11,0.1873
2003-04-14,-0.0623
2003-04-15,0.4364
2003-04-16,-0.869
2003-04-17,0.6262
2003-04-21,-0.2489
2003-04-22,1.3724
2003-04-23,1.4769
2003-04-24,1.0916
2003-04-25,0.4799
2003-04-28,1.9701
2003-04-29,-1.4637
2003-04-30,0.9507
2003-05-01,0.5886
2003-05-02,3.8619
2003-05-05,1.6901000000000002
2003-05-06,-0.554
2003-05-07,0.2786
2003-05-08,0.0
2003-05-09,1.1111
2003-05-12,0.989
2003-05-13,0.3808
2003-05-14,-0.163
2003-05-15,0.4897
2003-05-16,0.0541
2003-05-19,-1.1364
2003-05-20,2.1894
2003-05-21,0.7499
2003-05-22,1.5949
2003-05-23,-0.0523
2003-05-27,-0.8901
2003-05-28,0.3698
2003-05-29,-2.3684
2003-05-30,-1.8868
2003-06-02,3.6813000000000002
2003-06-03,-0.371
2003-06-04,0.5319
2003-06-05,0.5291
2003-06-06,0.2632
2003-06-09,-1.2073
2003-06-10,0.3188
