ticker,MITO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-15,-0.8333
2019-02-19,-0.3361
2019-02-20,0.3373
2019-02-21,0.0
2019-02-22,0.1681
2019-02-25,0.4195
2019-02-26,-0.7477
2019-02-27,-0.6776
2019-02-28,1.6949
2019-03-01,1.9167
2019-03-04,4.1701
2019-03-05,13.3281
2019-03-06,7.6326
2019-03-07,15.8842
2019-03-08,-6.6547
2019-03-11,-10.6484
2019-03-12,-5.7923
2019-03-13,5.5123999999999995
2019-03-14,-1.4066
2019-03-15,-0.1359
2019-03-18,-4.966
2019-03-19,-2.2906
2019-03-20,-2.1978
2019-03-21,-4.6307
2019-03-22,-5.7478
2019-03-25,-2.0833
2019-03-26,23.4043
2019-03-27,0.6897
2019-03-28,-6.9863
2019-03-29,-5.7437000000000005
2019-04-01,4.6875
2019-04-02,11.9403
2019-04-03,-5.2667
2019-04-04,1.7593
2019-04-05,-1.5213999999999999
2019-04-08,0.5618
2019-04-09,3.0028
2019-04-10,-3.7288
2019-04-11,-2.8169
2019-04-12,-3.6231999999999998
2019-04-15,-1.8045
2019-04-16,1.4701
2019-04-17,-1.147
2019-04-18,-3.0534
2019-04-22,9.4488
2019-04-23,-3.9568
2019-04-24,4.8689
2019-04-25,4.5521
2019-04-26,-1.9628
2019-04-29,-5.2418
2019-04-30,7.5908999999999995
2019-05-01,-1.0007
2019-05-02,2.7369
2019-05-03,-1.7473
2019-05-06,2.5308
2019-05-07,3.0687
2019-05-08,-2.9126
2019-05-09,-3.25
2019-05-10,-4.0827
2019-05-13,3.8075
2019-05-14,-2.8374
2019-05-15,-0.2849
2019-05-16,-3.9286
2019-05-17,1.8587
2019-05-20,-3.2847
2019-05-21,-2.0226
2019-05-22,-1.7871000000000001
2019-05-23,-3.6863
2019-05-24,-0.9772
2019-05-28,-0.2467
2019-05-29,3.0503
2019-05-30,2.0
2019-05-31,-5.8824
2019-06-03,0.0
2019-06-04,6.0833
2019-06-05,2.121
2019-06-06,-8.3846
2019-06-07,-0.8396
2019-06-10,-1.1854
2019-06-11,4.5416
2019-06-12,-0.1639
2019-06-13,10.0164
2019-06-14,-0.0746
2019-06-17,-8.4391
2019-06-18,4.4046
2019-06-19,-0.3906
2019-06-20,4.3137
2019-06-21,-2.1805
2019-06-24,-5.7648
2019-06-25,3.5155
2019-06-26,-3.7901
2019-06-27,-0.3276
2019-06-28,2.7116
2019-07-01,2.56
2019-07-02,-0.936
2019-07-03,1.5748
2019-07-05,-1.0078
