ticker,TNGNQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-09,0.4
2010-04-12,1.1952
2010-04-13,-1.1811
2010-04-14,-6.9721
2010-04-15,1.0707
2010-04-16,3.3898
2010-04-19,1.8443
2010-04-20,-2.2133
2010-04-21,-5.7613
2010-04-22,-1.5257
2010-04-23,-2.4417
2010-04-26,0.7358
2010-04-27,-1.8585
2010-04-28,1.1522999999999999
2010-04-29,6.8151
2010-04-30,-1.0638
2010-05-03,-11.828
2010-05-04,-8.2927
2010-05-05,1.0638
2010-05-06,-6.3125
2010-05-07,2.5244999999999997
2010-05-10,5.4795
2010-05-11,0.0
2010-05-12,2.8571
2010-05-13,3.2828
2010-05-14,-1.467
2010-05-17,8.933
2010-05-18,-7.5171
2010-05-19,-1.7241
2010-05-20,6.2657
2010-05-21,-14.6226
2010-05-24,5.5249
2010-05-25,-0.5236
2010-05-26,6.8421
2010-05-27,5.4187
2010-05-28,-0.9346
2010-06-01,-3.066
2010-06-02,0.7299
2010-06-03,9.4203
2010-06-04,1.5453000000000001
2010-06-07,-3.2609
2010-06-08,2.2472
2010-06-09,-9.011
2010-06-10,0.7246
2010-06-11,-2.8777
2010-06-14,4.9383
2010-06-15,-3.5294
2010-06-16,1.4634
2010-06-17,3.6058
2010-06-18,-3.0162
2010-06-21,-3.11
2010-06-22,-1.2346
2010-06-23,-5.5
2010-06-24,7.1429
2010-06-25,-2.4691
2010-06-28,-4.4304
2010-06-29,-0.6623
2010-06-30,-0.8
2010-07-01,5.1075
2010-07-02,-4.0921
2010-07-06,-3.0367
2010-07-07,-5.6688
2010-07-08,4.3732
2010-07-09,2.2346
2010-07-12,7.9235
2010-07-13,1.1392
2010-07-14,-0.8761
2010-07-15,2.7778
2010-07-16,-3.4398
2010-07-19,-0.5121
2010-07-20,0.259
2010-07-21,-0.5102
2010-07-22,-4.359
2010-07-23,0.2681
2010-07-26,6.7513
2010-07-27,-9.8309
2010-07-28,2.2222
2010-07-29,-4.8913
2010-07-30,0.0
2010-08-02,4.9429
2010-08-03,2.0964
2010-08-04,-1.2983
2010-08-05,-5.4389
2010-08-06,5.4286
2010-08-09,-0.2066
2010-08-10,0.2071
2010-08-11,-5.1491
2010-08-12,-3.1429
2010-08-13,-11.2094
2010-08-16,-0.6645
2010-08-17,0.3344
2010-08-18,0.3292
2010-08-19,0.0042
2010-08-20,-0.9967
2010-08-23,4.0268
2010-08-24,0.0
2010-08-25,-2.2580999999999998
2010-08-26,-8.9109
