ticker,YDVL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-05-22,2.8571
2000-08-24,11.8056
2001-03-28,1.8634
2001-11-05,17.0732
2001-11-06,4.1667
2001-11-16,-1.8
2001-12-14,14.053
2002-07-26,21.4286
2002-11-05,0.0
2002-11-13,2.9412000000000003
2003-01-24,11.4571
2003-06-25,7.6903
2003-07-21,1.214
2004-03-22,12.8881
2004-05-06,4.1667
2004-07-13,6.0
2005-04-15,6.6226
2005-04-18,0.0885
2005-10-11,52.0509
2005-11-10,5.814
2006-04-06,7.1429
2006-05-11,-1.5385
2006-05-17,-1.0417
2008-11-17,-15.7895
2009-03-17,-22.5
2009-06-11,9.6774
2009-09-01,-8.8235
2009-11-17,0.0
2009-12-11,0.0
2009-12-30,9.6774
2010-01-12,-8.8235
2010-02-05,0.0
2010-02-17,3.2258
2010-03-24,0.0
2010-03-25,1.5625
2010-04-27,-0.1538
2010-04-30,0.1541
2010-08-18,0.1538
2010-10-19,0.0
2010-11-03,0.0
2010-11-16,1.3825
2011-03-15,-0.9091
2011-05-13,0.9174
2011-05-16,3.0303
2012-03-28,6.7647
2012-08-16,0.6061
2013-01-10,1.9989
2013-01-22,2.6846
2013-06-18,0.6536
2013-06-19,0.6494
2013-07-08,0.0
2013-07-11,0.2581
2013-07-18,0.0
2013-07-19,1.0296
2013-08-20,0.0
2013-08-21,1.9108
2013-09-24,-1.4
2014-01-16,-0.9888
2014-04-02,0.0
2014-08-04,43.4059
2014-08-05,7.1429
2014-08-27,-6.6667
2014-09-03,5.0
2015-01-07,2.0408
2015-01-28,3.3333
2015-07-23,1.6129
2016-01-21,0.0
2017-05-08,6.7937
2017-10-09,11.5488
2017-10-19,0.2665
2017-11-03,12.8904
2017-11-21,0.0589
2018-06-25,8.8353
2019-03-22,3.8807
2019-09-23,4.0583
2020-03-20,7.0
