ticker,SSBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-14,0.0
2006-07-17,0.0
2006-07-18,0.0
2006-07-19,0.0
2006-07-20,0.0
2006-07-21,0.0
2006-07-24,0.6667
2006-07-25,-0.6623
2006-07-26,0.3333
2006-07-27,-0.3322
2006-07-28,0.0
2006-07-31,0.0
2006-08-01,0.0
2006-08-02,0.0
2006-08-03,0.0
2006-08-04,0.0
2006-08-07,0.0
2006-08-08,1.9333
2006-08-09,-1.3158
2006-08-10,0.0
2006-08-11,-4.8667
2006-08-14,-6.4471
2006-08-15,6.5169
2006-08-16,-3.7975
2006-08-17,-0.0731
2006-08-18,0.2195
2006-08-21,1.4599
2006-08-22,-0.5036
2006-08-25,0.94
2006-08-28,0.0
2006-08-29,-0.2865
2006-08-30,1.3227
2006-08-31,-2.3689999999999998
2006-09-01,1.5977000000000001
2006-09-05,-0.0009
2006-09-06,-1.2
2006-09-07,-0.8103
2006-09-08,0.2626
2006-09-11,0.3928
2006-09-12,-1.0145
2006-09-13,-1.1713
2006-09-14,-4.8148
2006-09-15,2.2568
2006-09-18,0.0761
2006-09-19,-0.3802
2006-09-20,0.229
2006-09-21,0.9139
2006-09-22,0.1509
2006-09-25,-0.6782
2006-09-26,-0.7587
2006-09-27,0.2294
2006-09-28,-0.0763
2006-09-29,-1.7557
2006-10-02,1.0101
2006-10-03,0.0
2006-10-04,-1.0769
2006-10-05,0.311
2006-10-06,0.0775
2006-10-09,0.6971
2006-10-10,-0.3077
2006-10-11,0.2315
2006-10-12,0.0
2006-10-13,0.077
2006-10-16,0.7692
2006-10-17,-0.687
2006-10-18,-1.6141
2006-10-19,0.0
2006-10-20,0.0
2006-10-23,0.7813
2006-10-24,0.7752
2006-10-25,-1.0769
2006-10-26,0.0
2006-10-27,-0.1555
2006-10-30,0.5452
2006-10-31,0.3873
2006-11-01,0.2315
2006-11-02,-0.3079
2006-11-03,0.945
2006-11-06,-0.5536
2006-11-07,1.0769
2006-11-08,-0.3805
2006-11-09,0.3846
2006-11-10,0.5364
2006-11-13,0.2287
2006-11-14,0.3802
2006-11-15,0.4545
2006-11-16,0.1508
2006-11-17,-1.1295
2006-11-20,0.5331
2006-11-21,0.3788
2006-11-22,0.7547
2006-11-27,-1.1236
2006-11-28,0.3788
2006-11-29,1.5093999999999999
2006-11-30,-0.7435
2006-12-01,1.0487
2006-12-04,-1.4085
2006-12-05,-0.6767
2006-12-06,0.6813
2006-12-07,0.4511
2006-12-08,0.2994
