ticker,MDWD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-20,23.3571
2014-03-21,5.1534
2014-03-24,-5.6167
2014-03-25,0.9335
2014-03-26,-10.1156
2014-03-27,-6.881
2014-03-28,4.2818
2014-03-31,-4.5695
2014-04-01,-1.9431
2014-04-02,-0.3539
2014-04-03,0.071
2014-04-04,-9.1554
2014-04-07,-10.0
2014-04-08,-1.9097
2014-04-09,7.6106
2014-04-10,-1.9737
2014-04-11,-1.7617
2014-04-14,4.0991
2014-04-15,-3.5275
2014-04-16,7.0578
2014-04-17,1.9857
2014-04-21,-0.8567
2014-04-22,-3.8491999999999997
2014-04-23,-5.8824
2014-04-24,-6.9444
2014-04-25,-5.7836
2014-04-28,0.396
2014-04-29,1.1834
2014-04-30,-0.0975
2014-05-01,-1.2683
2014-05-02,4.0514
2014-05-05,4.5584
2014-05-06,0.7266
2014-05-07,2.3445
2014-05-08,-3.6123
2014-05-09,-1.2797
2014-05-12,0.463
2014-05-13,0.7373
2014-05-14,0.9149
2014-05-15,-2.5385
2014-05-16,1.7673999999999999
2014-05-19,4.2962
2014-05-20,2.8045999999999998
2014-05-21,4.7741
2014-05-22,-2.441
2014-05-23,4.2535
2014-05-27,-1.2
2014-05-28,-0.7287
2014-05-29,-0.1631
2014-05-30,-2.9412000000000003
2014-06-02,1.0101
2014-06-03,1.75
2014-06-04,-1.0647
2014-06-05,-0.0828
2014-06-06,0.6628
2014-06-09,1.8107
2014-06-10,-0.8084
2014-06-11,0.978
2014-06-12,-2.2599
2014-06-13,-2.8902
2014-06-16,-2.0408
2014-06-17,-2.6042
2014-06-18,1.3369
2014-06-19,-2.9024
2014-06-20,-0.4529
2014-06-23,-1.1829
2014-06-24,0.4144
2014-06-25,-3.5305
2014-06-26,2.3764
2014-06-27,2.2284
2014-06-30,3.3606
2014-07-01,2.2847
2014-07-02,-1.5464
2014-07-03,-1.2216
2014-07-07,-1.4134
2014-07-08,1.7921
2014-07-09,-0.5282
2014-07-10,-2.9204
2014-07-11,-6.1076
2014-07-14,-5.1456
2014-07-15,2.9683
2014-07-16,-1.7893
2014-07-17,-5.668
2014-07-18,1.9313
2014-07-21,-0.8421
2014-07-22,1.6985000000000001
2014-07-23,-1.7745
2014-07-24,0.6376
2014-07-25,-0.4224
2014-07-28,-4.1357
2014-07-29,0.7743
2014-07-30,0.4391
2014-07-31,-4.918
2014-08-01,-6.8966
2014-08-04,1.9752999999999998
2014-08-05,3.3898
2014-08-06,-0.5855
