ticker,ROKU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-28,67.8571
2017-09-29,12.9362
2017-10-02,-11.2283
2017-10-03,-11.6723
2017-10-04,0.1922
2017-10-05,5.5635
2017-10-06,5.4066
2017-10-09,5.7759
2017-10-10,-6.5607
2017-10-11,3.1836
2017-10-12,-0.1268
2017-10-13,-2.5815
2017-10-16,-3.6056
2017-10-17,-0.4507
2017-10-18,-0.1811
2017-10-19,-0.0907
2017-10-20,-0.7263
2017-10-23,-6.8587
2017-10-24,-2.9455
2017-10-25,-4.2994
2017-10-26,-1.8498999999999999
2017-10-27,1.1847
2017-10-30,3.7786
2017-10-31,4.5128
2017-11-01,-2.8459
2017-11-02,-0.2525
2017-11-03,-1.0127
2017-11-06,-1.0742
2017-11-07,-1.0858
2017-11-08,-1.5159
2017-11-09,54.9363
2017-11-10,13.9089
2017-11-13,28.4511
2017-11-14,-13.4863
2017-11-15,6.4141
2017-11-16,1.1953
2017-11-17,-3.0158
2017-11-20,1.1143
2017-11-21,-4.5105
2017-11-22,8.964
2017-11-24,-2.7833
2017-11-27,17.8617
2017-11-28,-0.1935
2017-11-29,-3.3599
2017-11-30,-2.1618
2017-12-01,-0.7973
2017-12-04,-4.1791
2017-12-05,-5.4637
2017-12-06,12.1926
2017-12-07,-3.9313000000000002
2017-12-08,5.3387
2017-12-11,7.1221
2017-12-12,-2.1467
2017-12-13,-3.1736
2017-12-14,1.5178
2017-12-15,13.3478
2017-12-18,7.2453
2017-12-19,0.8556
2017-12-20,-6.5217
2017-12-21,1.8151000000000002
2017-12-22,-4.1411
2017-12-26,6.296
2017-12-27,-0.2005
2017-12-28,-2.8670999999999998
2017-12-29,-2.6509
2018-01-02,0.5601
2018-01-03,6.4721
2018-01-04,-7.5758
2018-01-05,-9.6799
2018-01-08,2.5713
2018-01-09,-5.7721
2018-01-10,-0.0447
2018-01-11,-1.8788
2018-01-12,-1.1169
2018-01-16,-9.6588
2018-01-17,5.9963999999999995
2018-01-18,-1.8777
2018-01-19,-1.3248
2018-01-22,8.4535
2018-01-23,-2.2925
2018-01-24,-0.8681
2018-01-25,4.3787
2018-01-26,-2.6984
2018-01-29,-1.2818
2018-01-30,-1.983
2018-01-31,-2.1676
2018-02-01,-1.7233
2018-02-02,1.3527
2018-02-05,-0.7168
2018-02-06,4.3067
2018-02-07,9.0453
2018-02-08,-4.3554
2018-02-09,-2.8375
2018-02-12,1.8135
2018-02-13,-0.4858
2018-02-14,4.2538
2018-02-15,1.7614
