ticker,LSXMA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-19,4.2628
2016-04-20,0.1537
2016-04-21,0.6446
2016-04-22,-0.3355
2016-04-25,1.1322
2016-04-26,0.7564
2016-04-27,0.2102
2016-04-28,-1.9479
2016-04-29,0.1528
2016-05-02,0.5798
2016-05-03,-0.2731
2016-05-04,-1.8862
2016-05-05,0.155
2016-05-06,1.2384
2016-05-09,-0.8869
2016-05-10,0.8639
2016-05-11,-1.2848
2016-05-12,-0.2789
2016-05-13,-1.3673
2016-05-16,0.6616
2016-05-17,-2.0031
2016-05-18,0.6068
2016-05-19,-0.9206
2016-05-20,0.9612
2016-05-23,-0.7617
2016-05-24,1.8228
2016-05-25,0.1884
2016-05-26,-0.5643
2016-05-27,0.8512
2016-05-31,-0.3126
2016-06-01,1.662
2016-06-02,-0.7403
2016-06-03,-0.0932
2016-06-06,-1.0886
2016-06-07,-0.3459
2016-06-08,0.6942
2016-06-09,1.2535
2016-06-10,-1.3309
2016-06-13,-2.3526
2016-06-14,-0.4176
2016-06-15,0.2581
2016-06-16,0.5792
2016-06-17,-1.3115999999999999
2016-06-20,0.0648
2016-06-21,-2.0408
2016-06-22,0.0331
2016-06-23,3.9008000000000003
2016-06-24,-2.7681
2016-06-27,-3.5013
2016-06-28,2.1363
2016-06-29,1.992
2016-06-30,2.0833
2016-07-01,0.8291
2016-07-05,0.1265
2016-07-06,0.2527
2016-07-07,0.5356
2016-07-08,1.6609
2016-07-11,0.6782
2016-07-12,-0.7961
2016-07-13,0.8025
2016-07-14,1.5309
2016-07-15,0.1206
2016-07-18,0.6024
2016-07-19,1.1078000000000001
2016-07-20,0.6515
2016-07-21,0.559
2016-07-22,1.5798999999999999
2016-07-25,-2.2177
2016-07-26,3.9764
2016-07-27,1.3314
2016-07-28,-1.5096
2016-07-29,1.476
2016-08-01,-1.4825
2016-08-02,-1.9022999999999999
2016-08-03,-0.7236
2016-08-04,-0.4373
2016-08-05,0.3514
2016-08-08,-1.8383
2016-08-09,-0.4756
2016-08-10,0.6272
2016-08-11,1.1873
2016-08-12,-0.528
2016-08-15,-0.2359
2016-08-16,0.3252
2016-08-17,-0.4125
2016-08-18,-1.8935
2016-08-19,-0.4222
2016-08-22,-0.3331
2016-08-23,0.4254
2016-08-24,-1.3918
2016-08-25,1.5034999999999998
2016-08-26,0.6953
2016-08-29,0.4503
2016-08-30,0.1793
2016-08-31,-0.0298
2016-09-01,0.0895
2016-09-02,0.8348
2016-09-06,-0.0591
