ticker,AGEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-04,240.9722
2000-02-07,-21.6904
2000-02-08,-3.7711
2000-02-09,-4.8649000000000004
2000-02-10,8.7713
2000-02-11,-6.4969
2000-02-14,2.2346
2000-02-15,4.6448
2000-02-16,8.094
2000-02-17,-9.9034
2000-02-18,-5.3619
2000-02-22,-10.7649
2000-02-23,14.2857
2000-02-24,7.2222
2000-02-25,-6.7358
2000-02-28,-11.1111
2000-02-29,12.5
2000-03-01,5.1389
2000-03-02,-3.0383
2000-03-03,-0.2725
2000-03-06,-2.7321999999999997
2000-03-07,1.6854
2000-03-08,10.4972
2000-03-09,5.25
2000-03-10,-4.5131
2000-03-13,-6.2189
2000-03-14,-11.6711
2000-03-15,1.8018
2000-03-16,-19.764
2000-03-17,-2.9412000000000003
2000-03-20,-9.8485
2000-03-21,-21.0084
2000-03-22,28.7234
2000-03-23,0.8264
2000-03-24,-3.2787
2000-03-27,2.5423999999999998
2000-03-28,-13.6364
2000-03-29,-4.7249
2000-03-30,-21.6573
2000-03-31,4.4872
2000-04-03,-9.2025
2000-04-04,4.0541
2000-04-05,7.1429
2000-04-06,-10.303
2000-04-07,-2.027
2000-04-10,-11.7241
2000-04-11,-12.1094
2000-04-12,0.0
2000-04-13,-0.8889
2000-04-14,-22.4215
2000-04-17,1.7341
2000-04-18,28.4091
2000-04-19,6.1947
2000-04-20,0.0
2000-04-24,0.0
2000-04-25,1.6667
2000-04-26,-0.8197
2000-04-27,-1.6529
2000-04-28,10.9244
2000-05-01,21.2121
2000-05-02,-7.8125
2000-05-03,1.0169
2000-05-04,3.6913
2000-05-05,-0.9709
2000-05-08,0.3268
2000-05-09,-2.6059
2000-05-10,-5.3512
2000-05-11,-1.7668
2000-05-12,9.3525
2000-05-15,2.3026
2000-05-16,1.6077
2000-05-17,8.8608
2000-05-18,-8.4302
2000-05-19,3.4920999999999998
2000-05-22,-19.6319
2000-05-23,-11.4504
2000-05-24,0.0
2000-05-25,-4.3103
2000-05-26,-3.6036
2000-05-30,7.9439
2000-05-31,-3.8961
2000-06-01,3.6036
2000-06-02,5.2174
2000-06-05,5.7851
2000-06-06,6.25
2000-06-07,0.0
2000-06-08,-2.2059
2000-06-09,9.0226
2000-06-12,-12.4138
2000-06-13,1.1811
2000-06-14,-6.6148
2000-06-15,-0.8333
2000-06-16,2.521
2000-06-19,2.8689
2000-06-20,2.0916
2000-06-21,2.2439
2000-06-22,-11.355
2000-06-23,7.6426
