ticker,TRUE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-16,11.7778
2014-05-19,-1.5905
2014-05-20,-4.0404
2014-05-21,1.3158
2014-05-22,-3.2727
2014-05-23,-0.9667
2014-05-27,10.6291
2014-05-28,2.3529
2014-05-29,1.1494
2014-05-30,3.7879
2014-06-02,2.646
2014-06-03,8.6222
2014-06-04,-1.1457
2014-06-05,-0.5795
2014-06-06,21.0658
2014-06-09,-3.5763
2014-06-10,-2.7104
2014-06-11,0.0733
2014-06-12,-5.348
2014-06-13,5.805
2014-06-16,1.8288
2014-06-17,-3.8792999999999997
2014-06-18,1.7189999999999999
2014-06-19,-0.2204
2014-06-20,-0.6627
2014-06-23,-1.4826
2014-06-24,-1.5800999999999998
2014-06-25,-1.7584
2014-06-26,2.2568
2014-06-27,1.1416
2014-06-30,11.2114
2014-07-01,-1.8944999999999999
2014-07-02,0.069
2014-07-03,3.6527
2014-07-07,-2.7260999999999997
2014-07-08,-2.2556
2014-07-09,0.6294
2014-07-10,-6.5323
2014-07-11,-1.3383
2014-07-14,0.9797
2014-07-15,-1.8657
2014-07-16,-0.6084
2014-07-17,-5.2793
2014-07-18,0.2423
2014-07-21,0.8058
2014-07-22,3.9169
2014-07-23,3.6923
2014-07-24,-0.5935
2014-07-25,1.3433
2014-07-28,1.5464
2014-07-29,-2.6831
2014-07-30,2.8316
2014-07-31,-1.6667
2014-08-01,-1.3265
2014-08-04,1.1202
2014-08-05,2.9542
2014-08-06,2.7977
2014-08-07,2.3029
2014-08-08,-7.7763
2014-08-11,2.3669000000000002
2014-08-12,14.6676
2014-08-13,-4.3478
2014-08-14,7.971
2014-08-15,-3.8438
2014-08-18,4.4416
2014-08-19,2.7339
2014-08-20,0.8279
2014-08-21,9.8534
2014-08-22,11.5857
2014-08-25,-4.1148
2014-08-26,-1.1477
2014-08-27,-1.9182000000000001
2014-08-28,-0.1544
2014-08-29,6.5464
2014-09-02,15.3846
2014-09-03,-5.6604
2014-09-04,-2.9333
2014-09-05,10.5769
2014-09-08,-2.8157
2014-09-09,-2.8973
2014-09-10,-6.9767
2014-09-11,-5.6132
2014-09-12,-1.2993999999999999
2014-09-15,-5.0633
2014-09-16,5.8667
2014-09-17,-2.1662
2014-09-18,-3.3471
2014-09-19,-3.5695
2014-09-22,-2.4862
2014-09-23,-3.966
2014-09-24,3.4808
2014-09-25,1.9954
2014-09-26,0.0559
2014-09-29,-2.5140000000000002
2014-09-30,2.8653
2014-10-01,2.6741
