ticker,CRT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.6289
2000-01-04,0.0
2000-01-05,-0.625
2000-01-06,-0.6289
2000-01-07,-0.6329
2000-01-10,2.5478
2000-01-11,-1.2422
2000-01-12,-4.4025
2000-01-13,2.6316
2000-01-14,0.0
2000-01-18,12.8205
2000-01-19,-2.8409
2000-01-20,0.0
2000-01-21,2.3392
2000-01-24,-0.5714
2000-01-25,5.7471
2000-01-26,-2.1739
2000-01-27,-1.0065
2000-01-28,1.1364
2000-01-31,6.7416
2000-02-01,-6.3158
2000-02-02,0.5618
2000-02-03,1.1173
2000-02-04,6.0773
2000-02-07,-2.6042
2000-02-08,-1.6042999999999998
2000-02-09,1.087
2000-02-10,0.0
2000-02-11,-0.5376
2000-02-14,-1.0811
2000-02-15,2.1858
2000-02-16,0.5348
2000-02-17,-2.1277
2000-02-18,2.1739
2000-02-22,-1.5957
2000-02-23,1.0811
2000-02-24,0.5348
2000-02-25,0.0216
2000-02-28,-3.2258
2000-02-29,-2.7778
2000-03-01,7.4286
2000-03-02,-0.5319
2000-03-03,2.1390000000000002
2000-03-06,-1.5707
2000-03-07,-1.0638
2000-03-08,0.0
2000-03-09,-3.7634
2000-03-10,-2.2346
2000-03-13,-7.4286
2000-03-14,3.0864
2000-03-15,-0.5988
2000-03-16,6.0241
2000-03-17,0.0
2000-03-20,3.4091
2000-03-21,-1.6484
2000-03-22,-1.1173
2000-03-23,-3.9548
2000-03-24,2.3529
2000-03-27,19.5402
2000-03-28,-5.2885
2000-03-29,0.9678
2000-03-30,-2.5381
2000-03-31,-16.1458
2000-04-03,9.3168
2000-04-04,-2.2727
2000-04-05,-1.7442
2000-04-06,2.9586
2000-04-07,-4.023
2000-04-10,7.7844
2000-04-11,0.5556
2000-04-12,3.3149
2000-04-13,-3.2086
2000-04-14,-0.5525
2000-04-17,4.4444
2000-04-18,-4.2553
2000-04-19,2.7778
2000-04-20,2.7027
2000-04-24,1.5789
2000-04-25,2.5907
2000-04-26,1.9969999999999999
2000-04-27,-2.5
2000-04-28,4.6154
2000-05-01,0.4902
2000-05-02,-5.8537
2000-05-03,4.6632
2000-05-04,-0.9901
2000-05-05,-5.0
2000-05-08,-0.5263
2000-05-09,6.8783
2000-05-10,-2.9703
2000-05-11,2.0408
2000-05-12,2.0
2000-05-15,0.4902
2000-05-16,1.4634
2000-05-17,2.4038
2000-05-18,-4.6948
2000-05-19,1.4778
2000-05-22,0.9709
2000-05-23,-0.4808
