ticker,AER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-21,0.087
2006-11-22,-1.3901
2006-11-24,1.1013
2006-11-27,-0.4357
2006-11-28,0.4376
2006-11-29,-1.8736000000000002
2006-11-30,0.7993
2006-12-01,0.3084
2006-12-04,-0.6148
2006-12-05,0.0
2006-12-06,0.1326
2006-12-07,2.6478
2006-12-08,0.172
2006-12-11,0.1288
2006-12-12,-0.3429
2006-12-13,-1.2903
2006-12-14,-0.8715
2006-12-15,0.5714
2006-12-18,0.0
2006-12-19,-0.6556
2006-12-20,0.7479
2006-12-21,-1.2664
2006-12-22,-1.0172
2006-12-26,-0.6256
2006-12-27,2.2932
2006-12-28,-0.1758
2006-12-29,2.0696
2007-01-03,0.7334
2007-01-04,0.4283
2007-01-05,2.8145
2007-01-08,3.4426
2007-01-09,3.2478
2007-01-10,1.5534
2007-01-11,3.5182
2007-01-12,-0.5541
2007-01-16,-0.4458
2007-01-17,-1.4179
2007-01-18,-1.5897000000000001
2007-01-19,-1.5385
2007-01-22,-0.5859
2007-01-23,3.3006
2007-01-24,3.081
2007-01-25,-2.1402
2007-01-26,-2.187
2007-01-29,-0.1542
2007-01-30,2.1236
2007-01-31,0.3781
2007-02-01,1.1676
2007-02-02,0.1862
2007-02-05,0.5574
2007-02-06,-0.2587
2007-02-07,-1.8155000000000001
2007-02-08,-1.8868
2007-02-09,-0.4615
2007-02-12,-0.8887
2007-02-13,-0.1949
2007-02-14,2.0703
2007-02-15,1.2246
2007-02-16,-1.5123
2007-02-20,3.263
2007-02-21,-0.3717
2007-02-22,0.3731
2007-02-23,0.5204
2007-02-26,0.7766
2007-02-27,-1.8349
2007-02-28,4.2991
2007-03-01,-2.7599
2007-03-02,-0.6635
2007-03-05,-1.9666000000000001
2007-03-06,-0.1514
2007-03-07,-0.8719
2007-03-08,-0.6501
2007-03-09,2.194
2007-03-12,2.1846
2007-03-13,-2.4696
2007-03-14,1.5495
2007-03-15,1.2654
2007-03-16,-0.0368
2007-03-19,-0.7353
2007-03-20,0.5556
2007-03-21,0.6262
2007-03-22,1.7936
2007-03-23,4.6741
2007-03-26,-0.721
2007-03-27,-0.9689
2007-03-28,-2.7254
2007-03-29,4.8850999999999996
2007-03-30,-0.3082
2007-04-02,0.3435
2007-04-03,3.5262000000000002
2007-04-04,0.5622
2007-04-05,-0.1973
2007-04-09,-0.3954
2007-04-10,0.0992
2007-04-11,-0.9914
2007-04-12,0.5674
2007-04-13,-0.7634
2007-04-16,-1.2709
