ticker,OVID US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-05,-18.3333
2017-05-08,4.4082
2017-05-09,4.3002
2017-05-10,2.9234999999999998
2017-05-11,1.1653
2017-05-12,-0.7919
2017-05-15,0.9434
2017-05-16,-0.9346
2017-05-17,-0.3628
2017-05-18,8.8857
2017-05-19,0.3344
2017-05-22,-0.2
2017-05-23,-0.1336
2017-05-24,-3.01
2017-05-25,0.4828
2017-05-26,-0.6177
2017-05-30,-7.3204
2017-05-31,-4.9925
2017-06-01,-8.3922
2017-06-02,4.024
2017-06-05,2.0576
2017-06-06,-6.4516
2017-06-07,-1.8965999999999998
2017-06-08,9.3146
2017-06-09,11.254
2017-06-12,-4.552
2017-06-13,9.0083
2017-06-14,-3.4028
2017-06-15,-0.4313
2017-06-16,-4.2599
2017-06-19,-0.4525
2017-06-20,-2.803
2017-06-21,-1.7927
2017-06-22,0.4762
2017-06-23,-6.4771
2017-06-26,-3.2939
2017-06-27,-3.8428
2017-06-28,-3.7239
2017-06-29,0.9434
2017-06-30,-1.9626000000000001
2017-07-03,-2.4786
2017-07-05,-0.2933
2017-07-06,-1.3725
2017-07-07,-3.4791
2017-07-10,-7.415
2017-07-11,3.8932
2017-07-12,3.3191
2017-07-13,-3.7306
2017-07-14,-0.9688
2017-07-17,1.3043
2017-07-18,-0.2146
2017-07-19,1.3978
2017-07-20,-0.8484
2017-07-21,-2.1390000000000002
2017-07-24,-0.765
2017-07-25,-2.4229
2017-07-26,0.2257
2017-07-27,-7.545
2017-07-28,-1.218
2017-07-31,0.9864
2017-08-01,-0.8547
2017-08-02,-3.202
2017-08-03,-5.9796
2017-08-04,-5.4127
2017-08-07,7.7253
2017-08-08,-4.7809
2017-08-09,-11.2971
2017-08-10,-16.3522
2017-08-11,17.6692
2017-08-14,6.5495
2017-08-15,-1.9489999999999998
2017-08-16,-1.3761
2017-08-17,-1.5504
2017-08-18,0.1575
2017-08-21,4.2453
2017-08-22,24.4344
2017-08-23,-11.2727
2017-08-24,-1.9125999999999999
2017-08-25,0.1393
2017-08-28,-0.2782
2017-08-29,21.4784
2017-08-30,12.1699
2017-08-31,-3.5824
2017-09-01,-9.6603
2017-09-05,-1.5276
2017-09-06,-1.432
2017-09-07,0.8475
2017-09-08,-2.2809
2017-09-11,-2.3342
2017-09-12,7.673
2017-09-13,2.5701
2017-09-14,9.1116
2017-09-15,-1.8789
2017-09-18,-1.4894
2017-09-19,-4.5356
2017-09-20,1.3575
2017-09-21,-3.3482
