ticker,MHPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-18,2.0
2015-09-30,-1.9607999999999999
2015-10-14,0.0
2015-10-15,23.0
2015-10-20,1.626
2015-10-22,-3.2
2015-10-28,14.0496
2015-11-05,-7.2464
2015-11-20,-2.3438
2015-11-23,-32.0
2015-12-01,0.0
2016-01-27,0.0
2016-02-05,18.8235
2016-03-11,10.8911
2016-03-14,-20.5357
2016-03-15,0.0
2016-03-17,-0.6882
2016-03-18,-6.0953
2016-03-21,2.4096
2016-03-28,0.0
2016-03-29,17.647100000000002
2016-04-12,-29.5
2016-04-14,13.4752
2016-06-02,-12.5
2016-06-09,-21.4286
2016-06-10,80.0
2016-06-16,0.0
2016-06-22,0.0
2016-06-24,0.0
2016-07-18,-64.6465
2016-07-19,14.25
2016-07-22,7.5336
2016-07-28,0.0
2016-08-18,16.2791
2016-08-23,-14.0
2016-10-21,-65.1163
2016-11-04,0.0
2016-11-15,0.0
2017-05-03,66.6667
2017-11-02,-20.0
2017-12-15,0.0
2017-12-21,0.0
2017-12-26,0.0
2018-02-01,350.0
2018-02-07,-77.7778
2018-05-11,-37.5
2018-05-14,20.0
2018-05-17,0.0
2018-05-30,-43.3333
2018-06-05,0.0
2018-06-13,96.0784
2018-06-14,-47.0
2018-07-05,-43.3962
2018-07-10,233.3333
2018-07-11,0.0
2018-07-16,0.0
2018-07-20,-47.0
2018-08-01,96.2264
2018-08-02,0.0
2018-08-27,-23.0769
2018-08-28,-25.0
2018-09-04,65.0
2018-09-05,-43.9394
2018-10-02,-9.9099
2018-10-09,-40.0
2018-11-02,230.0
2018-11-05,1.0101
2019-08-14,-15.0
2019-08-26,0.0
2019-08-29,88.2353
2019-08-30,61.875
2019-09-03,54.4402
2019-09-05,3.8125
2019-09-09,-8.3685
2019-09-11,-18.2654
2019-09-18,-3.537
2019-10-01,0.0
2019-10-08,-8.3333
2019-10-21,61.8182
2019-10-29,1.1236
2019-10-30,0.0
2019-11-13,-33.3333
2019-11-14,3.3333
2019-12-18,-12.9032
2019-12-20,0.3704
2019-12-23,0.0
2020-01-03,-13.2841
2020-01-24,6.383
2020-01-31,-16.0
2020-02-04,-4.7619
2020-02-05,-37.5
2020-02-12,0.0
2020-02-14,-19.2
2020-02-18,-40.5842
2020-02-19,-0.0167
2020-02-26,8.3333
2020-03-02,-13.8462
2020-03-03,-28.5714
2020-03-04,27.5
2020-03-05,0.0196
2020-03-06,47.0104
2020-03-09,6.6809
2020-03-10,0.0
2020-03-12,0.0
2020-03-26,0.0
2020-03-30,-2.8125
2020-04-06,22.1865
2020-04-09,5.2632
2020-04-15,15.0
2020-04-17,-4.3478
2020-04-22,-9.0909
2020-04-23,1.0
2020-04-24,-41.5842
2020-04-27,-0.0169
2020-04-28,111.9003
2020-05-01,-52.0
2020-05-07,-66.6667
2020-05-08,25.0
2020-05-12,300.0
2020-05-15,23.0
2020-05-18,1.626
2020-05-19,0.0
2020-05-20,0.8
2020-05-21,58.730199999999996
2020-05-22,-49.5
2020-05-26,95.0495
2020-05-27,-23.8579
2020-05-29,45.3333
2020-06-01,0.9174
2020-06-03,0.0
2020-06-05,-9.0909
2020-06-26,2.5
2020-06-29,20.4878
2020-07-02,11.336
2020-07-06,-25.4545
2020-07-07,34.1463
2020-07-14,5.4545
2020-07-15,1.7241
2020-07-17,-23.7288
2020-07-23,31.1111
2020-07-28,-32.2034
