ticker,MYRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-08-13,2.1538
2008-08-14,-0.9036
2008-08-15,-0.6079
2008-08-18,-0.6116
2008-08-20,-0.3077
2008-08-21,-1.2346
2008-08-22,0.0
2008-08-28,-1.5625
2008-08-29,0.9524
2008-09-02,2.0755
2008-09-03,-1.4171
2008-09-04,0.0
2008-09-05,0.0
2008-09-08,0.0
2008-09-09,-1.75
2008-09-10,-7.7608
2008-09-11,0.0
2008-09-12,0.0
2008-09-15,1.5862
2008-09-16,-1.9009
2008-09-17,-3.8062
2008-09-18,0.0
2008-09-19,-2.0144
2008-09-22,0.9545
2008-09-23,-4.9455
2008-09-24,-2.1423
2008-09-25,0.86
2008-09-26,-0.7752
2008-09-29,-1.9531
2008-09-30,0.8765
2008-10-01,1.1058
2008-10-02,-7.9688
2008-10-03,0.1698
2008-10-06,1.1864
2008-10-07,-3.7688
2008-10-08,-2.1758
2008-10-09,-2.669
2008-10-10,-7.3126
2008-10-13,-1.5779
2008-10-14,-2.8056
2008-10-15,2.9897
2008-10-16,0.0
2008-10-17,-0.7007
2008-10-20,0.8052
2008-10-21,8.7014
2008-10-22,-7.9117
2008-10-23,-0.0999
2008-10-24,0.0
2008-10-27,-1.8
2008-10-28,-2.2403
2008-10-29,-4.1667
2008-10-30,3.3696
2008-10-31,-0.5258
2008-11-03,-0.2114
2008-11-04,0.0
2008-11-05,-4.661
2008-11-06,0.0
2008-11-07,-6.8889
2008-11-10,1.5513
2008-11-11,-6.228
2008-11-12,-11.7794
2008-11-13,-16.1932
2008-11-14,16.9492
2008-11-17,0.0
2008-11-18,1.4493
2008-11-19,4.0
2008-11-20,-3.8462
2008-11-21,-3.5714
2008-11-24,8.2963
2008-11-25,4.104
2008-11-26,15.7687
2008-11-28,14.8695
2008-12-01,-7.7075
2008-12-02,0.5353
2008-12-03,-0.213
2008-12-04,-12.4867
2008-12-05,-2.1951
2008-12-08,12.2195
2008-12-09,7.7778
2008-12-10,0.5155
2008-12-11,3.7949
2008-12-12,-4.8419
2008-12-15,3.7382999999999997
2008-12-16,-0.9009
2008-12-17,0.7071
2008-12-18,0.3009
2008-12-19,0.4
2008-12-22,-1.7928
2008-12-23,0.3043
2008-12-24,0.0
2008-12-26,0.1011
2008-12-29,1.0101
2008-12-30,0.0
2008-12-31,0.0
2009-01-02,0.0
2009-01-05,0.24
2009-01-06,13.6273
2009-01-07,-0.0878
2009-01-08,14.2355
2009-01-09,0.0
2009-01-12,-1.4615
