ticker,MTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.4321
2000-01-04,-3.8772
2000-01-05,-0.3361
2000-01-06,2.1922
2000-01-07,0.0
2000-01-10,2.3102
2000-01-11,-0.1613
2000-01-12,1.1309
2000-01-13,1.1182
2000-01-14,2.3697
2000-01-18,-1.0802
2000-01-19,1.5601
2000-01-20,10.5991
2000-01-21,-3.6111
2000-01-24,5.1873
2000-01-25,0.137
2000-01-26,-3.1464
2000-01-27,0.0
2000-01-28,1.4123999999999999
2000-01-31,0.5571
2000-02-01,0.554
2000-02-02,-0.2755
2000-02-03,-1.7955999999999999
2000-02-04,-0.7032
2000-02-07,0.9915
2000-02-08,-0.8415
2000-02-09,-1.6973
2000-02-10,-0.7194
2000-02-11,-3.1884
2000-02-14,1.9461
2000-02-15,0.7342
2000-02-16,-3.4985
2000-02-17,1.5106000000000002
2000-02-18,-0.8929
2000-02-22,0.9009
2000-02-23,-1.4881
2000-02-24,-2.2659000000000002
2000-02-25,-0.7728
2000-02-28,-0.3115
2000-02-29,1.4062999999999999
2000-03-01,-1.3867
2000-03-02,-4.9375
2000-03-03,8.5526
2000-03-06,-4.2424
2000-03-07,-1.1076
2000-03-08,-0.48
2000-03-09,-0.9646
2000-03-10,0.8117
2000-03-13,-2.0934
2000-03-14,-0.4934
2000-03-15,3.8017
2000-03-16,0.6369
2000-03-17,-0.9494
2000-03-20,2.7157
2000-03-21,2.6439
2000-03-22,2.2727
2000-03-23,0.5926
2000-03-24,-1.1782
2000-03-27,-0.8942
2000-03-28,1.0526
2000-03-29,0.744
2000-03-30,1.6248
2000-03-31,3.6337
2000-04-03,-0.8415
2000-04-04,-0.2829
2000-04-05,1.4184
2000-04-06,0.979
2000-04-07,0.0
2000-04-10,-3.3241
2000-04-11,1.4327
2000-04-12,5.6497
2000-04-13,-0.4011
2000-04-14,-5.906
2000-04-17,3.8516
2000-04-18,-2.1978
2000-04-19,0.1404
2000-04-20,1.2623
2000-04-24,-0.4155
2000-04-25,-0.2782
2000-04-26,0.4184
2000-04-27,-0.2778
2000-04-28,3.0641
2000-05-01,-1.0811
2000-05-02,-1.5027
2000-05-03,-1.5257
2000-05-04,5.6338
2000-05-05,-0.1333
2000-05-08,-1.8692
2000-05-09,-0.6803
2000-05-10,-1.5068000000000001
2000-05-11,5.5633
2000-05-12,-2.8986
2000-05-15,1.8996
2000-05-16,1.5979
2000-05-17,-2.4902
2000-05-18,0.8065
2000-05-19,-2.4
2000-05-22,0.5464
