ticker,PFSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-28,-49.5
2011-05-19,-45.5446
2011-05-23,-7.2727
2011-05-25,0.0
2011-05-27,-31.3725
2011-06-17,45.7143
2011-06-21,7.8431
2011-08-04,83.6364
2011-08-25,23.7624
2011-08-30,-91.92
2011-10-05,43.5644
2011-10-13,589.6552
2011-10-20,50.0
2011-10-21,-30.0
2011-11-03,0.0
2011-11-04,-42.8571
2012-09-11,0.0
2013-01-03,-8.3333
2013-05-09,36.3636
2014-04-22,-33.3333
2015-04-23,10.0
2015-07-07,-9.0909
2016-11-02,-20.0
2017-02-01,0.0
2017-04-13,25.0
2018-05-10,-20.0
2018-08-01,31.25
2018-09-28,-23.0476
2018-10-12,17.5743
2018-10-17,0.0
2018-10-19,-1.0526
2018-10-22,1.0638
2018-10-24,5.2632
2018-10-26,0.0
2018-10-30,5.0
2018-10-31,0.0
2018-11-05,4.7619
2019-03-22,-63.6364
2019-03-25,175.0
2019-03-26,-63.6364
2019-03-28,125.0
2019-12-06,22.2222
