ticker,MOST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-19,283.3333
2005-04-20,3.4783
2005-04-21,2.521
2005-04-22,2.459
2005-04-25,0.32
2005-04-26,0.4785
2005-04-27,0.4762
2005-04-28,1.1058
2005-04-29,0.0
2005-05-02,-0.1563
2005-05-03,9.5462
2005-05-04,-0.2857
2005-05-05,0.2865
2005-05-06,3.5714
2005-05-09,-2.7586
2005-05-10,6.383
2005-05-11,-3.3333
2005-05-12,-2.069
2005-05-13,2.1127
2005-05-16,0.0
2005-05-17,0.6897
2005-05-18,1.3699
2005-05-19,0.0
2005-05-20,0.6757
2005-05-23,-0.6711
2005-05-24,0.6757
2005-05-25,2.0134
2005-05-26,1.9737
2005-05-27,0.6452
2005-05-31,-0.641
2005-06-01,0.0
2005-06-02,-0.3871
2005-06-03,1.0363
2005-06-06,1.2821
2005-06-07,0.6329
2005-06-08,0.0
2005-06-09,-0.6289
2005-06-10,1.2658
2005-06-13,0.625
2005-06-14,0.6211
2005-06-15,0.0
2005-06-16,0.0
2005-06-17,-1.2346
2005-06-20,0.5
2005-06-21,0.0
2005-06-22,0.3731
2005-06-23,0.3717
2005-06-24,0.6173
2005-06-27,0.0
2005-06-28,-1.3497
2005-06-29,0.2488
2005-06-30,1.737
2005-07-01,1.2195
2005-07-05,-0.6024
2005-07-06,0.6061
2005-07-07,0.6024
2005-07-08,0.0
2005-07-11,-1.1976
2005-07-12,0.0
2005-07-13,1.2121
2005-07-14,1.1976
2005-07-15,-0.1183
2005-07-18,0.7109
2005-07-19,-0.2353
2005-07-20,-0.3538
2005-07-21,1.1834
2005-07-22,0.0
2005-07-25,0.5848
2005-07-26,1.1628
2005-07-27,1.7241
2005-07-28,0.565
2005-07-29,-1.6854
2005-08-01,-4.0
2005-08-02,0.5952
2005-08-03,-1.7751000000000001
2005-08-04,2.4096
2005-08-05,0.0
2005-08-08,0.0
2005-08-09,-0.0588
2005-08-10,0.0589
2005-08-11,1.7647
2005-08-12,-1.1561
2005-08-15,2.3392
2005-08-16,1.7143000000000002
2005-08-17,2.0225
2005-08-18,-0.3304
2005-08-19,0.0
2005-08-22,-1.105
2005-08-23,1.6760000000000002
2005-08-24,-0.2198
2005-08-25,0.7709
2005-08-26,1.6393
2005-08-29,1.0753
2005-08-30,-1.0638
2005-08-31,3.3333
2005-09-01,3.5380000000000003
2005-09-02,1.005
2005-09-06,0.4975
2005-09-07,0.0
2005-09-08,0.0
2005-09-09,-1.4851
2005-09-12,-0.5025
