ticker,THCT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-20,20.0
2010-04-15,-50.8383
2010-04-16,160.0
2010-05-26,92.3077
2010-05-27,20.0
2010-05-28,66.6667
2010-06-07,-20.0
2010-06-10,0.0
2010-07-27,62.5
2010-07-28,130.7692
2010-08-02,-30.0
2010-08-10,-28.5714
2010-08-11,0.0
2010-08-18,100.0
2010-08-20,0.0
2010-08-25,1.3333
2011-10-28,46.7105
2011-11-03,-97.713
2012-01-18,841.1765
2012-02-08,110.4167
2012-02-09,3.9604
2012-02-13,-23.8095
2012-03-07,87.5
2012-03-15,890.0
2012-03-16,-49.4949
2012-03-19,-66.6667
2012-03-26,198.0
2012-03-27,-32.8859
2012-04-04,-50.0
2012-04-20,0.0
2012-05-16,-79.8
2012-05-17,395.0495
2012-06-05,58.0
2012-06-06,10.1266
2012-06-07,8.046
2012-06-08,8.5106
2012-06-11,-0.9804
2012-06-12,0.9901
2012-06-13,-7.3529
2012-06-14,10.0529
2012-06-15,6.7308
2012-06-18,4.5045
2012-06-19,10.3448
2012-06-20,-4.6875
2012-06-21,-24.5902
2012-06-22,-18.4783
2012-06-25,13.3333
2012-06-26,-1.1764999999999999
2012-06-27,14.2857
2012-06-28,4.1667
2012-06-29,-13.8
2012-07-02,14.8492
2012-07-03,-1.0101
2012-07-05,4.0816
2012-07-06,-10.7843
2012-07-09,8.7912
2012-07-10,-9.0909
2012-07-11,-7.7778
2012-07-12,3.6145
2012-07-13,9.186
2012-07-16,-4.1534
2012-07-17,13.3333
2012-07-18,-1.9607999999999999
2012-07-19,-5.0
2012-07-20,7.3684
2012-07-23,-7.8431
2012-07-24,7.4468
2012-07-25,0.9901
2012-07-26,7.8431
2012-07-27,0.0
2012-07-30,-13.0909
2012-07-31,1.046
2012-08-01,5.5901
2012-08-02,-7.8431
2012-08-03,6.1702
2012-08-06,-13.8277
2012-08-07,-1.1628
2012-08-08,17.647100000000002
2012-08-09,-12.0
2012-08-10,0.0
2012-08-13,0.0
2012-08-14,2.2727
2012-08-15,-19.7778
2012-08-16,10.8033
2012-08-17,-8.75
2012-08-20,27.3973
2012-08-21,-3.2258
2012-08-22,4.4444
2012-08-23,-13.4774
2012-08-24,0.0
2012-08-27,10.6586
2012-08-28,-11.9444
2012-08-29,-17.9811
2012-08-30,-7.6923
2012-08-31,1.6667
2012-09-04,0.0
2012-09-05,-1.6393
2012-09-06,0.0
2012-09-07,40.0
2012-09-10,-4.7619
2012-09-11,-21.25
