ticker,OOIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-29,225.0
2017-04-25,7.6923
2017-05-12,-55.7143
2017-08-03,-35.4839
2017-08-04,55.0
2017-08-07,41.9355
2017-08-08,13.6364
2017-08-09,8.0
2017-08-10,7.4074
2017-08-11,-22.4138
2017-08-14,-6.6667
2017-08-15,4.8095
2017-08-16,33.5756
2017-08-17,2.0408
2017-08-18,-33.3333
2017-08-21,10.0
2017-08-28,6.8182
2017-09-01,-42.5532
2017-09-05,80.963
2017-09-06,21.3672
2017-09-07,9.6121
2017-09-08,14.7692
2017-09-11,4.5576
2017-09-12,6.4103
2017-09-13,-10.1205
2017-09-14,16.8901
2017-09-15,12.844
2017-09-18,12.8049
2017-09-19,11.5315
2017-09-20,-43.6187
2017-09-21,-41.2607
2017-09-22,12.6829
2017-09-25,-4.7619
2017-09-26,-2.7273
2017-09-27,-13.5514
2017-09-28,-23.7838
2017-09-29,13.4752
2017-10-02,-5.625
2017-10-03,-33.7748
2017-10-04,-40.0
2017-10-05,100.0
2017-10-06,-25.0
2017-10-09,-44.4444
2017-10-10,118.0
2017-10-11,15.8073
2017-10-12,-8.8965
2017-10-13,-57.0
2017-10-16,-37.3104
2017-10-17,25.8065
2017-10-18,-0.641
2017-10-19,-4.5161
2017-10-20,10.8108
2017-10-23,-14.6341
2017-10-24,4.0
2017-10-25,15.6593
2017-10-26,0.5819
2017-10-27,-3.1763
2017-10-30,-9.7561
2017-10-31,0.0
2017-11-01,-11.3514
2017-11-02,3.0488
2017-11-03,-17.1893
2017-11-06,35.7628
2017-11-07,-26.3158
2017-11-08,17.8214
2017-11-09,-6.0321
2017-11-10,0.0
2017-11-13,-3.2580999999999998
2017-11-14,-13.3044
2017-11-15,3.8462
2017-11-16,-12.963
2017-11-17,6.383
2017-11-20,12.0
2017-11-21,-10.7143
2017-11-24,-8.64
2017-11-27,7.8853
2017-11-28,12.8201
2017-11-29,-13.6691
2017-11-30,-12.5
2017-12-01,13.8095
2017-12-04,-10.9121
2017-12-05,-8.886
2017-12-06,-22.6804
2017-12-07,-2.0
2017-12-08,-33.6735
2017-12-11,207.6923
2017-12-12,16.6667
2017-12-13,-34.2857
2017-12-14,13.0435
2017-12-15,7.6923
2017-12-18,-17.8214
2017-12-19,-8.7353
2017-12-20,-4.7619
2017-12-21,15.0
2017-12-22,7.8261
2017-12-26,-10.0403
2017-12-27,-23.3528
2017-12-28,21.4444
2017-12-29,-12.8425
2018-01-02,3.3702
