ticker,LFIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-14,4.2398
2017-12-15,308.4094
2017-12-18,228.8505
2017-12-19,-5.6784
2017-12-20,0.3369
2017-12-21,-32.9781
2017-12-22,-10.6948
2017-12-26,32.731700000000004
2017-12-27,8.1771
2017-12-28,-6.1491
2017-12-29,1.9005
2018-01-02,1.9538
2018-01-03,0.1742
2018-01-04,-2.6261
2018-01-05,-4.4472
2018-01-08,-3.4393000000000002
2018-01-09,-4.1618
2018-01-10,-3.7972
2018-01-11,-10.4976
2018-01-12,2.3927
2018-01-16,-8.4536
2018-01-17,-3.4034
2018-01-18,15.7772
2018-01-19,-3.4012000000000002
2018-01-22,8.8719
2018-01-23,-7.3404
2018-01-24,-2.8932
2018-01-25,-1.3477999999999999
2018-01-26,0.1678
2018-01-29,0.1914
2018-01-30,-3.6303
2018-01-31,-0.5204
2018-02-01,-6.7763
2018-02-02,-4.9973
2018-02-05,-9.8172
2018-02-06,10.7299
2018-02-07,-7.7183
2018-02-08,1.7094
2018-02-09,2.0408
2018-02-12,13.7941
2018-02-13,9.098
2018-02-14,-3.6247
2018-02-15,3.7365
2018-02-16,-18.4834
2018-02-20,5.3198
2018-02-21,-5.6030999999999995
2018-02-22,-1.7544
2018-02-23,8.6012
2018-02-26,2.6309
2018-02-27,-4.8331
2018-02-28,1.0662
2018-03-01,-1.2215
2018-03-02,3.5694
2018-03-05,-3.3921
2018-03-06,-2.9775
2018-03-07,1.4476
2018-03-08,-0.0285
2018-03-09,-0.7279
2018-03-12,13.2998
2018-03-13,8.3756
2018-03-14,2.6932
2018-03-15,-0.6385
2018-03-16,15.9054
2018-03-19,5.7228
2018-03-20,5.4505
2018-03-21,2.0782
2018-03-22,12.2325
2018-03-23,10.2326
2018-03-26,-16.6245
2018-03-27,-41.498
2018-03-28,-2.797
2018-03-29,-48.7986
2018-04-02,-17.0915
2018-04-03,-30.8875
2018-04-04,17.3913
2018-04-05,64.8579
2018-04-06,47.278
2018-05-24,-74.6355
2018-05-25,-36.3636
2018-05-29,16.4835
2018-05-30,0.9434
2018-05-31,-7.4766
2018-06-01,-9.0909
2018-06-04,-12.2222
2018-06-05,13.9241
2018-06-06,-5.1111
2018-06-07,-6.3232
2018-06-08,-6.25
2018-06-11,1.3333
2018-06-12,5.7895
2018-06-13,8.7065
2018-06-14,5.2632
2018-06-15,39.1304
2018-06-18,32.8125
2018-06-19,17.647100000000002
2018-06-20,41.0
2018-06-21,-0.7092
