ticker,PSTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-15,0.0
2019-05-16,-0.5882
2019-05-17,0.0
2019-05-20,-0.8876
2019-05-21,0.2388
2019-05-22,-0.2978
2019-05-23,-1.5532
2019-05-24,-1.3956
2019-05-28,-0.0615
2019-05-29,-3.9409
2019-05-30,2.5641
2019-05-31,2.8125
2019-06-03,-3.0395
2019-06-04,-0.3762
2019-06-05,-6.6079
2019-06-06,-2.0889
2019-06-07,8.8782
2019-06-10,1.1378
2019-06-11,-0.3125
2019-06-12,0.1881
2019-06-13,-1.627
2019-06-14,-4.0076
2019-06-17,0.0663
2019-06-18,-1.9868000000000001
2019-06-19,2.027
2019-06-20,-3.6424
2019-06-21,1.9931
2019-06-24,-1.6846
2019-06-25,0.1371
2019-06-26,-0.616
2019-06-27,5.0964
2019-06-28,3.211
2019-07-01,-0.254
2019-07-02,0.5092
2019-07-03,-1.8366
2019-07-05,1.7419
2019-07-08,1.1604
2019-07-09,-1.888
2019-07-10,0.898
2019-07-11,-0.3814
2019-07-12,0.5105
2019-07-15,0.0
2019-07-16,-0.127
2019-07-17,-0.6993
2019-07-18,-0.1921
2019-07-19,0.1283
2019-07-22,-2.6265
2019-07-23,-0.3947
2019-07-24,-0.8587
2019-07-25,-1.2658
2019-07-26,-0.5398
2019-07-29,-0.2035
2019-07-30,2.5833
2019-07-31,-1.5905
2019-08-01,-0.404
2019-08-02,0.6761
2019-08-05,-4.2982
2019-08-06,0.7719
2019-08-07,-0.4178
2019-08-08,2.7972
2019-08-09,-2.0408
2019-08-12,0.5556
2019-08-13,0.0691
2019-08-14,-1.6562999999999999
2019-08-15,4.5614
2019-08-16,0.2013
2019-08-19,1.4735
2019-08-20,0.33
2019-08-21,-0.2632
2019-08-22,-0.4617
2019-08-23,1.4579
2019-08-26,-0.7185
2019-08-27,-1.6447
2019-08-28,1.0033
2019-08-29,0.3974
2019-08-30,0.4617
2019-09-03,-0.394
2019-09-04,0.1978
2019-09-05,0.1974
2019-09-06,0.197
2019-09-09,-0.3932
2019-09-10,-0.2961
2019-09-11,-1.7486000000000002
2019-09-12,1.1417
2019-09-13,-1.3944
2019-09-16,-0.0337
2019-09-17,1.9198
2019-09-18,-0.3966
2019-09-19,0.929
2019-09-20,0.263
2019-09-23,-0.3279
2019-09-24,0.1316
2019-09-25,0.5256
2019-09-26,1.5032999999999999
2019-09-27,-0.1288
2019-09-30,2.1277
2019-10-01,-0.7576
2019-10-02,-0.0636
