ticker,JWS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-07,-0.2941
2020-07-08,-0.6883
2020-07-09,0.0743
2020-07-10,3.6854
2020-07-13,-1.7176
2020-07-14,-0.1942
2020-07-15,-0.2918
2020-07-16,0.9756
2020-07-17,1.0986
2020-07-20,-0.7999
2020-07-21,0.2293
2020-07-22,0.6363
2020-07-23,6.7813
2020-07-24,1.5206
2020-07-27,-0.9692
2020-07-28,-0.089
2020-07-29,-2.5824
2020-07-30,-4.0219
2020-07-31,-1.0476
