ticker,TTRHF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-75.0
2000-01-07,25.0
2000-01-24,100.0
2000-02-09,45.0
2000-02-10,3.4483
2000-03-23,6.6667
2000-04-12,-20.0
2000-05-30,-45.3125
2000-06-13,0.5357
2000-08-08,-14.7425
2000-08-31,-30.9524
2000-09-12,-17.2414
2000-09-18,-4.1667
2000-10-02,-21.7391
2000-10-04,16.6667
2000-10-10,14.2857
2000-10-18,-2.3438
2000-10-24,-14.6667
2000-10-26,-10.0
2000-10-27,44.4444
2000-11-07,-30.7692
2000-11-20,-11.1111
2000-11-21,56.25
2000-12-07,-32.0
2000-12-22,-47.0588
2000-12-25,0.0
2000-12-27,62.2222
2000-12-29,-4.1096
2001-01-01,0.0
2001-02-27,-10.0
2001-04-20,-36.5079
2001-05-30,-31.25
2001-06-15,81.8182
2001-06-18,-30.0
2001-08-27,14.2857
2001-09-25,37.5
2001-10-24,-45.4545
2001-11-06,50.0
2001-12-12,-55.5556
2001-12-28,50.0
2002-02-08,16.6667
2002-02-12,-55.3571
2002-04-17,60.0
2003-03-31,132.0
2003-04-14,-33.2974
2003-05-28,-35.3796
2003-06-06,140.0
2003-07-15,-19.1667
2003-09-24,-27.8351
2004-03-02,1200.0
2004-04-02,2.1978
2004-05-03,-19.3548
2004-05-11,-8.0
2004-05-19,4.3478
2004-07-02,8.3333
2004-10-21,37.1795
2004-10-28,-1.8692
2005-01-13,2.8571
2005-01-19,7.4074
2005-01-24,2.1552
2005-02-10,0.4219
2005-02-16,1.0189
2005-02-24,0.6551
2005-04-13,-14.1632
2005-05-12,-0.8304
2005-06-07,0.0971
2005-06-09,10.7662
2005-06-13,2.4518
2005-06-15,-1.7094
2005-06-17,0.6087
2005-06-23,16.6811
2005-06-30,2.963
2005-07-05,-1.7986
2005-07-08,0.3663
2005-07-21,5.1095
2005-07-25,7.6389
2005-07-26,-2.9032
2005-08-02,19.9336
2005-08-15,11.3573
2005-09-14,-21.3277
2005-09-21,3.5848
2005-09-22,-1.2821
2005-09-23,-3.2157999999999998
2005-09-27,-6.7093
2005-10-03,50.0
2005-10-05,0.3482
2005-10-11,-6.945
2005-10-13,-9.6822
2005-10-17,5.5766
2005-10-19,-6.7692
2005-10-20,0.11
2005-11-02,-4.3956
2005-11-07,-0.5747
2005-11-09,-0.1156
2005-11-23,1.2731
2005-11-28,-2.8571
2005-12-06,-5.2941
2005-12-07,-0.6211
2005-12-13,-2.1875
2005-12-29,0.9585
