ticker,LOACU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-29,1.3
2018-08-30,0.2962
2018-08-31,-0.0984
2018-09-04,0.0158
2018-09-05,-0.2128
2018-09-06,0.1481
2018-09-07,-0.0493
2018-09-10,0.0286
2018-09-11,0.563
2018-09-12,-0.4902
2018-09-13,0.8867
2018-09-14,-0.0977
2018-09-17,-0.0978
2018-09-18,0.2935
2018-09-19,1.9512
2018-09-20,-2.201
2018-09-21,-0.1957
2018-09-24,0.6863
2018-09-25,-0.001
2018-09-26,-0.3885
2018-09-27,0.1955
2018-09-28,-0.0976
2018-10-01,0.0977
2018-10-02,0.0
2018-10-03,-0.0976
2018-10-04,0.0
2018-10-05,0.0
2018-10-09,0.5859
2018-10-11,-0.0971
2018-10-15,-0.5831
2018-10-16,-0.2933
2018-10-19,0.1961
2018-10-22,0.0
2018-10-23,-0.1957
2018-10-24,0.0
2018-10-26,-0.4902
2018-10-29,0.0
2018-10-31,0.9852
2018-11-01,-0.0976
2018-11-05,-0.4395
2018-11-06,0.049
2018-11-07,-0.1961
2018-11-08,-0.0982
2018-11-12,-0.0983
2018-11-14,0.0
2018-11-19,0.0
2018-11-27,-0.0984
2018-11-28,0.6897
2018-11-29,0.0
2018-11-30,0.1957
2018-12-03,0.0977
2018-12-04,-0.4878
2018-12-06,0.0
2018-12-07,0.098
2018-12-10,-0.0979
2018-12-11,0.0
2018-12-12,-0.4902
2018-12-14,0.0
2018-12-17,-0.0985
2018-12-21,0.0986
2018-12-26,0.0
2019-01-02,0.0
2019-01-08,-0.131
2019-01-14,0.1312
2019-01-16,-0.197
2019-01-18,0.0
2019-01-22,0.5923
2019-01-23,-0.0981
2019-01-24,-0.2947
2019-01-25,1.3793
2019-01-28,-0.7775
2019-01-30,0.0
2019-01-31,-0.0979
2019-02-04,0.5882
2019-02-06,-0.4873
2019-02-08,-0.4897
2019-02-12,0.4203
2019-02-13,0.4636
2019-02-20,-0.0878
2019-03-04,-0.1357
2019-03-19,-0.265
2019-03-21,0.0
2019-03-27,0.0
2019-03-28,0.049
2019-04-01,0.3822
2019-04-15,0.5467
2019-04-22,0.1515
2019-04-23,0.3335
2019-04-25,-0.1594
2019-04-26,1.8048
2019-05-23,-0.9506
2019-05-28,-0.096
2019-06-04,0.2882
2019-06-07,0.0958
2019-06-10,0.0
2019-06-17,-1.244
2019-07-10,0.0
2019-07-15,0.2791
2019-07-24,0.1082
2019-07-25,0.3861
2019-07-31,0.076
2019-08-07,-0.0759
2019-08-14,-0.0962
2019-08-16,0.2887
2019-08-30,1.7543
2019-09-09,-0.498
2019-09-11,0.1896
2019-09-13,0.0
2019-10-10,0.473
2019-10-24,-0.3766
2019-10-28,-0.0945
2019-11-19,0.0085
2019-11-21,-0.1977
2019-11-27,0.1896
2019-12-13,-0.6623
2019-12-18,0.4762
2019-12-19,-2.8436
2019-12-23,1.0732
2020-01-14,2.7992
2020-03-09,0.4695
2020-04-07,-0.9084
2020-05-21,-0.9696
2020-05-22,-0.9524
2020-07-14,1.8798
