ticker,ABG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-03-14,1.8182
2002-03-15,-4.4643
2002-03-18,-3.3645
2002-03-19,-1.354
2002-03-20,1.9607999999999999
2002-03-21,-0.3205
2002-03-22,0.0643
2002-03-25,-1.8638
2002-03-26,-0.131
2002-03-27,0.0
2002-03-28,0.0
2002-04-01,-0.6557
2002-04-02,-0.6601
2002-04-03,-2.7907
2002-04-04,-0.6152
2002-04-05,3.1637
2002-04-08,2.0
2002-04-09,0.6536
2002-04-10,16.8831
2002-04-11,-3.8889
2002-04-12,-0.8671
2002-04-15,-2.3324
2002-04-16,0.2985
2002-04-17,1.4881
2002-04-18,1.349
2002-04-19,0.3472
2002-04-22,1.4994
2002-04-23,7.1023
2002-04-24,3.7135
2002-04-25,-3.8363
2002-04-26,1.8617
2002-04-29,0.0
2002-04-30,2.6632
2002-05-01,-1.5768
2002-05-02,0.0
2002-05-03,5.4264
2002-05-06,2.6961
2002-05-07,-0.9069
2002-05-08,3.5645
2002-05-09,3.4884
2002-05-10,-2.2022
2002-05-13,-2.114
2002-05-14,3.8967
2002-05-15,-1.9883
2002-05-16,-3.6422
2002-05-17,-4.2105
2002-05-20,4.3956
2002-05-21,-2.6794000000000002
2002-05-22,-3.6382
2002-05-23,0.8163
2002-05-24,1.164
2002-05-28,-3.7019
2002-05-29,-2.0779
2002-05-30,-3.7135
2002-05-31,7.438
2002-06-03,-6.7692
2002-06-04,-12.3762
2002-06-05,2.6365
2002-06-06,0.3058
2002-06-07,-7.622
2002-06-10,3.1023
2002-06-11,-0.7682
2002-06-12,-6.4516
2002-06-13,-6.9655000000000005
2002-06-14,-5.1149000000000004
2002-06-17,14.4531
2002-06-18,4.0956
2002-06-19,2.623
2002-06-20,-7.3482
2002-06-21,-0.6897
2002-06-24,-3.8194
2002-06-25,0.0
2002-06-26,-1.8051
2002-06-27,3.6765
2002-06-28,-3.5461
2002-07-01,-0.8824
2002-07-02,-6.8991
2002-07-03,-2.3904
2002-07-05,3.3468999999999998
2002-07-08,5.5292
2002-07-09,0.2994
2002-07-10,-2.2388
2002-07-11,-0.0763
2002-07-12,2.3682
2002-07-15,-4.1045
2002-07-16,-1.9455
2002-07-17,-1.5873
2002-07-18,-3.2258
2002-07-19,-3.5
2002-07-22,-0.6908
2002-07-23,-7.3913
2002-07-24,4.6948
2002-07-25,-0.5381
2002-07-26,-0.7214
2002-07-29,9.5368
2002-07-30,-7.131
2002-07-31,1.3393
2002-08-01,-0.4405
