ticker,SLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-13,29.4006
2008-03-14,-22.0588
2008-03-17,-28.4906
2008-03-18,22.1636
2008-03-19,7.9914
2008-03-20,-5.0
2008-03-24,1.5789
2008-03-25,2.1762
2008-03-26,-2.0284
2008-03-27,9.3168
2008-03-28,-10.0379
2008-03-31,0.0
2008-04-01,-4.6316
2008-04-02,2.9801
2008-04-03,1.8221
2008-04-04,0.9474
2008-04-07,1.877
2008-04-08,-1.0235
2008-04-09,-2.7908
2008-04-10,1.0625
2008-04-11,-0.9474
2008-04-14,-8.3953
2008-04-15,-8.5847
2008-04-16,6.9797
2008-04-17,-4.5077
2008-04-18,-6.8323
2008-04-21,-0.6667
2008-04-22,0.0
2008-04-23,0.6711
2008-04-24,-0.8
2008-04-25,-2.2849
2008-04-28,-1.6505999999999998
2008-04-29,-1.3986
2008-04-30,-0.5674
2008-05-01,-2.1398
2008-05-02,-5.3936
2008-05-05,-2.4653
2008-05-06,-6.4771
2008-05-07,1.1824
2008-05-08,-3.1052
2008-05-09,-4.4108
2008-05-12,4.5422
2008-05-13,-0.3427
2008-05-14,-0.5212
2008-05-15,-4.1739
2008-05-16,5.9165
2008-05-19,-5.072
2008-05-20,33.574
2008-05-21,0.0
2008-05-22,-3.2432
2008-05-23,-12.5698
2008-05-27,-1.7572
2008-05-28,8.1321
2008-05-29,9.9227
2008-05-30,35.2941
2008-06-02,-3.3367
2008-06-03,-5.7531
2008-06-04,1.7758
2008-06-05,1.4177
2008-06-06,-6.8817
2008-06-09,-7.8522
2008-06-10,-3.5088
2008-06-11,3.3247
2008-06-12,-3.0417
2008-06-13,-5.7558
2008-06-16,10.0413
2008-06-17,4.625
2008-06-18,-2.0311
2008-06-19,4.1463
2008-06-20,5.7377
2008-06-23,0.1107
2008-06-24,-5.4204
2008-06-25,-8.1871
2008-06-26,-0.6369
2008-06-27,0.0
2008-06-30,2.5641
2008-07-01,-3.75
2008-07-02,-8.5714
2008-07-03,9.233
2008-07-07,-2.4707
2008-07-08,0.0
2008-07-09,-0.5333
2008-07-10,-1.2081
2008-07-11,-5.1544
2008-07-14,-1.0014
2008-07-15,-6.5029
2008-07-16,0.9274
2008-07-17,7.1995000000000005
2008-07-18,5.7124
2008-07-21,-5.6757
2008-07-22,2.8653
2008-07-23,-3.7587
2008-07-24,-0.8701
2008-07-25,2.3376
2008-07-28,-2.1415
2008-07-29,1.6035
2008-07-30,-1.5782
2008-07-31,5.6851
2008-08-01,2.069
