ticker,CEIX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-15,12.3596
2017-11-16,-12.48
2017-11-28,-1.9653
2017-11-29,8.2517
2017-11-30,-5.2541
2017-12-01,-3.1818
2017-12-04,-7.9343
2017-12-05,7.3432
2017-12-06,0.7126
2017-12-07,12.5
2017-12-08,6.3732
2017-12-11,16.2791
2017-12-12,1.0847
2017-12-13,-3.0852
2017-12-14,-3.8407999999999998
2017-12-15,3.3465
2017-12-18,3.9345
2017-12-19,8.207699999999999
2017-12-20,0.6192
2017-12-21,4.2462
2017-12-22,6.1983
2017-12-26,7.3652
2017-12-27,-1.9674
2017-12-28,3.248
2017-12-29,1.0486
2018-01-02,-2.7082
2018-01-03,-3.7201
2018-01-04,-3.5126
2018-01-05,-1.9882
2018-01-08,-0.8857
2018-01-09,-1.7008
2018-01-10,0.4399
2018-01-11,3.8832
2018-01-12,-1.4896
2018-01-16,-7.1897
2018-01-17,9.8678
2018-01-18,-4.0851
2018-01-19,2.3337
2018-01-22,6.3284
2018-01-23,-4.5308
2018-01-24,-0.0842
2018-01-25,-3.6818
2018-01-26,1.1964
2018-01-29,-4.3829
2018-01-30,-4.7346
2018-01-31,2.6591
2018-02-01,4.3787
2018-02-02,-8.4786
2018-02-05,0.1614
2018-02-06,2.0947
2018-02-07,-5.9658999999999995
2018-02-08,-5.1695
2018-02-09,4.0354
2018-02-12,6.6689
2018-02-13,2.7432
2018-02-14,2.4215999999999998
2018-02-15,-2.7887
2018-02-16,1.5591
2018-02-20,-2.1799
2018-02-21,2.3854
2018-02-22,0.3372
2018-02-23,0.7638
2018-02-26,-0.4245
2018-02-27,-1.9184
2018-02-28,-1.6143999999999998
2018-03-01,-0.4418
2018-03-02,0.4437
2018-03-05,-1.6093
2018-03-06,2.8865
2018-03-07,-0.5611
2018-03-08,-1.3793
2018-03-09,-8.8048
2018-03-12,3.9735
2018-03-13,-1.2068
2018-03-14,1.6966
2018-03-15,-0.4671
2018-03-16,4.0563
2018-03-19,-2.7706
2018-03-20,-0.8284
2018-03-21,-0.2005
2018-03-22,-1.5065
2018-03-23,0.17
2018-03-26,-0.1697
2018-03-27,-6.6961
2018-03-28,1.02
2018-03-29,4.4717
2018-04-02,-1.6223999999999998
2018-04-03,2.386
2018-04-04,-0.377
2018-04-05,2.6144
2018-04-06,-1.6091
2018-04-09,1.3288
2018-04-10,4.573
2018-04-11,0.1286
2018-04-12,-0.6423
2018-04-13,1.8746
2018-04-16,-3.014
2018-04-17,5.9535
