ticker,STSA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-13,12.6667
2019-09-16,-6.6272
2019-09-17,4.5626999999999995
2019-09-18,-5.8788
2019-09-19,0.2576
2019-09-20,1.1561
2019-09-23,-4.8889
2019-09-24,0.534
2019-09-25,0.0664
2019-09-26,-0.4645
2019-09-27,0.0
2019-09-30,0.0667
2019-10-01,-3.2645
2019-10-02,-21.9697
2019-10-03,4.06
2019-10-04,-4.5802
2019-10-07,-4.8889
2019-10-08,-6.4019
2019-10-09,-6.5402000000000005
2019-10-10,10.0427
2019-10-11,-5.534
2019-10-14,-3.5971
2019-10-15,-0.6397
2019-10-16,2.2532
2019-10-17,3.148
2019-10-18,5.1882
2019-10-21,16.2476
2019-10-22,-4.7421
2019-10-23,-2.7948
2019-10-24,-3.9533
2019-10-25,4.2095
2019-10-28,4.0395
2019-10-29,-2.5022
2019-10-30,1.1504
2019-10-31,3.0621
2019-11-01,1.4431
2019-11-04,9.9582
2019-11-05,12.6332
2019-11-06,4.4595
2019-11-07,13.1953
2019-11-08,0.7429
2019-11-11,-5.6154
2019-11-12,-0.8413
2019-11-13,9.1515
2019-11-14,-0.3887
2019-11-15,1.728
2019-11-18,-0.3836
2019-11-19,-0.165
2019-11-20,0.551
2019-11-21,-5.2603
2019-11-22,-10.9312
2019-11-25,-2.013
2019-11-26,2.717
2019-11-27,1.6774
2019-11-29,0.1904
2019-12-02,-9.1197
2019-12-03,-7.108
2019-12-04,6.0015
2019-12-05,6.9356
2019-12-06,-7.8756
2019-12-09,-3.1609
2019-12-10,-9.273
2019-12-11,-4.9877
2019-12-12,1.9792999999999998
2019-12-13,17.5527
2019-12-16,-4.9533000000000005
2019-12-17,19.4864
2019-12-18,12.1997
2019-12-19,4.2254
2019-12-20,-1.027
2019-12-23,-1.42
2019-12-24,4.9307
2019-12-26,2.6927
2019-12-27,-1.7481
2019-12-30,2.0408
2019-12-31,0.9231
2020-01-02,-0.1524
2020-01-03,-4.0712
2020-01-06,-1.8568
2020-01-07,0.973
2020-01-08,0.0535
2020-01-09,0.321
2020-01-10,-4.64
2020-01-13,0.5593
2020-01-14,-5.3949
2020-01-15,0.7055
2020-01-16,10.7998
2020-01-17,3.1612
2020-01-21,1.6343
2020-01-22,0.7538
2020-01-23,-0.3491
2020-01-24,-1.5516
2020-01-27,-0.3559
2020-01-28,29.949
2020-01-29,13.9772
2020-01-30,-11.8498
2020-01-31,-3.3998
2020-02-03,4.1667
2020-02-04,-4.5437
