ticker,RP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-08-12,32.0
2010-08-13,3.3058
2010-08-16,8.3333
2010-08-17,-0.2769
2010-08-18,3.3323
2010-08-19,1.7617
2010-08-20,0.2934
2010-08-23,2.048
2010-08-24,-2.5229
2010-08-25,0.4118
2010-08-26,-0.9959
2010-08-27,0.503
2010-08-30,-0.3238
2010-08-31,-1.1223
2010-09-01,-0.7168
2010-09-02,2.2262
2010-09-03,1.0594
2010-09-07,0.233
2010-09-08,2.208
2010-09-09,-2.0466
2010-09-10,-4.527
2010-09-13,0.6687
2010-09-14,7.186
2010-09-15,1.4085
2010-09-16,5.8333
2010-09-17,-0.0525
2010-09-20,1.7856999999999998
2010-09-21,1.6512
2010-09-22,0.1015
2010-09-23,-3.6511
2010-09-24,-1.4211
2010-09-27,-1.9754
2010-09-28,-0.4902
2010-09-29,5.2545
2010-09-30,-0.78
2010-10-01,1.9916
2010-10-04,-0.1542
2010-10-05,1.3896
2010-10-06,-0.8629
2010-10-07,-0.512
2010-10-08,7.4627
2010-10-11,-1.772
2010-10-12,6.7772
2010-10-13,0.4566
2010-10-14,0.1818
2010-10-15,-3.7205
2010-10-18,1.7908
2010-10-19,-4.0741
2010-10-20,7.8185
2010-10-21,-1.6115
2010-10-22,-0.1365
2010-10-25,0.7745
2010-10-26,-0.5877
2010-10-27,4.9113
2010-10-28,3.8145
2010-10-29,-3.6326
2010-11-01,-0.3466
2010-11-02,5.3478
2010-11-03,0.8667
2010-11-04,10.1064
2010-11-05,-0.6317
2010-11-08,1.6455
2010-11-09,2.5754
2010-11-10,6.0617
2010-11-11,5.1403
2010-11-12,-2.9592
2010-11-15,-2.3865
2010-11-16,-8.0475
2010-11-17,-3.7666
2010-11-18,6.5618
2010-11-19,2.6647
2010-11-22,-0.912
2010-11-23,-4.0354
2010-11-24,0.7377
2010-11-26,-0.5126
2010-11-29,0.1472
2010-11-30,0.6983
2010-12-01,5.6569
2010-12-02,0.6218
2010-12-03,-3.7418
2010-12-06,-7.8103
2010-12-07,10.2515
2010-12-08,-0.0702
2010-12-09,7.8652
2010-12-10,-6.1523
2010-12-13,-2.8789
2010-12-14,-0.3571
2010-12-15,4.1577
2010-12-16,0.0688
2010-12-17,5.4677
2010-12-20,6.4232
2010-12-21,0.3676
2010-12-22,0.1221
2010-12-23,-0.8841
2010-12-27,-1.0458
2010-12-28,-3.4193
2010-12-29,-3.2507
2010-12-30,-1.4304999999999999
2010-12-31,4.3874
