ticker,QUCT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-29,0.0
2000-03-16,-5.8824
2000-04-26,-10.0
2000-06-01,6.9444
2000-06-22,-4.9351
2000-07-31,63.9344
2001-01-11,-39.6667
2004-02-10,65.7459
2007-09-20,58.3333
2007-09-27,2.1053
2007-10-02,2.5773
2007-10-04,10.6533
2008-08-05,18.0745
2008-08-12,0.0
2008-11-07,-13.5659
2008-11-12,-8.6996
2009-02-05,8.055
2009-02-12,0.0
2009-02-18,4.5455
2009-03-12,-21.3043
2009-04-03,27.0718
2009-04-13,-4.3478
2009-04-30,0.0
2009-05-14,-9.0909
2009-05-19,10.0
2009-06-08,-9.0909
2009-06-09,10.0
2009-06-10,-4.5455
2009-06-30,4.7619
2009-07-10,0.0
2009-07-16,0.0
2009-07-30,0.0
2009-08-04,0.0
2010-01-04,-7.3394
2010-01-05,7.9208
2010-01-07,-1.8349
2010-01-11,0.0
2010-01-12,0.0
2010-06-30,5.0467
2010-07-01,1.4235
2010-08-03,0.0
2010-08-18,0.4386
2010-08-19,9.1703
2010-10-11,1.6129
2010-10-20,-0.7937
2010-10-25,-4.0
2010-10-26,0.0
2010-11-01,-5.8333
2010-11-02,-1.3274
2010-11-08,-1.3453
2010-11-11,-1.8182
2010-11-15,0.0
2010-11-16,-7.4074
2010-11-17,8.0
2010-11-30,-0.1852
2011-01-19,-0.7421
2011-01-20,-1.8692
2011-01-21,0.0
2011-01-24,0.0
2011-01-25,0.0952
2011-01-31,0.8563
2011-02-10,-0.9434
2011-02-11,-0.9524
2011-02-16,0.9615
2011-02-23,-2.3810000000000002
2011-02-25,-1.1707
2011-02-28,-0.2962
2011-03-03,-1.9802
2011-03-16,5.5556
2011-03-18,0.0
2011-03-24,0.0
2011-04-29,-3.3493
2011-05-02,1.4851
2011-05-04,0.4878
2011-05-05,-0.9709
2011-05-11,0.0
2011-05-20,0.0
2011-05-26,-0.8824
2011-05-27,-0.9891
2011-05-31,0.8991
2011-06-01,-0.495
2011-06-02,-0.398
2011-06-03,-1.5984
2011-06-07,1.6244
2011-06-21,0.0
2011-06-24,-1.0989
2011-07-14,1.0101
2011-07-21,0.5
2011-07-22,-0.4975
2011-07-25,-0.5
2011-07-27,0.5025
2011-08-05,-1.5
2011-08-09,0.5076
2011-08-11,-1.9192
2011-08-17,0.206
2011-08-18,-0.3083
2011-08-23,0.3093
2011-09-02,0.3083
2011-09-07,-0.6148
2011-09-08,0.0
2011-09-09,0.0
2011-09-15,3.0928
