ticker,PCPL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-16,1.0101
2020-06-17,0.45
2020-06-18,-0.3484
2020-06-19,0.1998
2020-06-22,1.5952
2020-06-23,-1.3739
2020-06-24,0.0
2020-06-25,-0.4975
2020-06-26,1.2
2020-06-29,-0.2767
2020-06-30,-0.218
2020-07-01,0.0993
2020-07-02,0.3968
2020-07-06,0.7905
2020-07-08,-0.9314
2020-07-09,0.4443
2020-07-10,0.4936
2020-07-13,0.6863
2020-07-14,-0.5842
2020-07-15,0.7835
2020-07-16,0.6803
2020-07-17,-0.0965
2020-07-20,0.3671
2020-07-21,0.8856
2020-07-22,0.1908
2020-07-23,0.0476
2020-07-24,0.4284
2020-07-27,0.4739
2020-07-28,-0.9434
2020-07-29,-0.7619
2020-07-30,-0.7678
2020-07-31,-0.3868
