ticker,ARNC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-02,-10.2601
2020-04-03,29.7907
2020-04-06,-9.4293
2020-04-07,0.0
2020-04-08,37.3973
2020-04-09,7.5773
2020-04-13,-11.9555
2020-04-14,1.6842000000000001
2020-04-15,-7.971
2020-04-16,-3.9370000000000003
2020-04-17,10.8899
2020-04-20,3.0623
2020-04-21,-4.6107
2020-04-22,-0.1074
2020-04-23,-5.1613
2020-04-24,-8.8435
2020-04-27,13.806000000000001
2020-04-28,-10.3825
2020-04-29,7.439
2020-04-30,-1.0216
2020-05-01,-1.9495
2020-05-04,3.8596
2020-05-05,-0.4505
2020-05-06,-5.6561
2020-05-07,3.9568
2020-05-08,5.1903
2020-05-11,-3.7281
2020-05-12,-2.9613
2020-05-13,-2.5822000000000003
2020-05-14,0.3614
2020-05-15,0.12
2020-05-18,11.1511
2020-05-19,0.2157
2020-05-20,13.0248
2020-05-21,7.4286
2020-05-22,13.8298
2020-05-26,1.6355
2020-05-27,6.8966
2020-05-28,-1.5771
2020-05-29,5.3897
2020-06-01,3.179
2020-06-02,6.8319
2020-06-03,7.1472999999999995
2020-06-04,1.3458
2020-06-05,7.9099
2020-06-08,-0.9096
2020-06-09,-3.8877
2020-06-10,-5.8427
2020-06-11,-8.2936
2020-06-12,7.2219
2020-06-15,-1.335
2020-06-16,2.1525
2020-06-17,-6.6225000000000005
2020-06-18,1.4828999999999999
2020-06-19,-2.1601
2020-06-22,2.4026
2020-06-23,0.9512
2020-06-24,-5.4648
2020-06-25,2.7243
2020-06-26,-11.5783
2020-06-29,1.2436
2020-06-30,0.6503
2020-07-01,-5.0251
2020-07-02,-1.2094
2020-07-06,8.5692
2020-07-07,-0.4933
2020-07-08,2.9745
2020-07-09,-3.2325
2020-07-10,3.1272
2020-07-13,2.9635
2020-07-14,5.2209
2020-07-15,4.3893
2020-07-16,1.95
2020-07-17,-2.8691
2020-07-20,0.0
2020-07-21,3.3231
2020-07-22,2.5015
2020-07-23,-4.8809000000000005
2020-07-24,-0.1222
2020-07-27,4.0367
2020-07-28,-1.5285
2020-07-29,-2.0896
2020-07-30,-0.7317
2020-07-31,0.0614
