ticker,MMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-31,11.8333
2013-11-01,3.6513
2013-11-04,0.7908
2013-11-05,-3.067
2013-11-06,2.4283
2013-11-07,0.5747
2013-11-08,-2.4286
2013-11-11,0.0
2013-11-12,-1.9034
2013-11-13,1.2687
2013-11-14,-3.0951
2013-11-15,0.0
2013-11-18,3.4221
2013-11-19,-0.8824
2013-11-20,2.5223
2013-11-21,1.013
2013-11-22,1.7191999999999998
2013-11-25,-0.1408
2013-11-26,-2.1862
2013-11-27,-0.0721
2013-11-29,-1.0101
2013-12-02,3.7901
2013-12-03,3.5815
2013-12-04,0.0
2013-12-05,-1.5593
2013-12-06,-4.4077
2013-12-09,4.3228
2013-12-10,0.0
2013-12-11,-0.4834
2013-12-12,-2.2207
2013-12-13,1.2065
2013-12-16,1.3324
2013-12-17,-0.4844
2013-12-18,3.6856999999999998
2013-12-19,0.4024
2013-12-20,-1.1356
2013-12-23,2.7702999999999998
2013-12-24,-1.7094
2013-12-26,-2.3411
2013-12-27,0.5479
2013-12-30,-4.1553
2013-12-31,5.8991
2014-01-02,-2.4161
2014-01-03,0.4127
2014-01-06,-0.5479
2014-01-07,-4.4077
2014-01-08,4.3948
2014-01-09,-0.4141
2014-01-10,0.0693
2014-01-13,-0.9003
2014-01-14,1.0482
2014-01-15,2.6279
2014-01-16,0.0
2014-01-17,0.2022
2014-01-21,-1.076
2014-01-22,1.9714
2014-01-23,-0.8
2014-01-24,0.672
2014-01-27,4.9399
2014-01-28,-2.4173
2014-01-29,3.6506
2014-01-30,0.1887
2014-01-31,4.6453
2014-02-03,-4.2591
2014-02-04,2.8195
2014-02-05,-3.0469
2014-02-06,2.7656
2014-02-07,-0.9174
2014-02-10,-0.6173
2014-02-11,-2.1739
2014-02-12,2.0952
2014-02-13,1.3682
2014-02-14,-0.9816
2014-02-18,0.062
2014-02-19,0.5573
2014-02-20,-1.601
2014-02-21,0.5632
2014-02-24,-3.7959
2014-02-25,3.1048
2014-02-26,0.0
2014-02-27,3.4504
2014-02-28,1.698
2014-03-03,-1.2522
2014-03-04,4.3478
2014-03-05,0.8681
2014-03-06,0.3442
2014-03-07,2.0583
2014-03-10,-1.8487
2014-03-11,-1.8265
2014-03-12,-1.2209
2014-03-13,-0.9417
2014-03-14,1.0101
2014-03-17,-3.4118
2014-03-18,2.3752
2014-03-19,8.5068
2014-03-20,-1.9189
2014-03-21,-2.739
2014-03-24,1.092
2014-03-25,0.0569
2014-03-26,-1.5341
