ticker,CVLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-22,17.2414
2006-09-25,-2.9412000000000003
2006-09-26,-1.5152
2006-09-27,0.0
2006-09-28,3.3846
2006-09-29,7.1429
2006-10-02,-0.9444
2006-10-03,-0.4487
2006-10-04,1.4085
2006-10-05,-2.1667
2006-10-06,0.1704
2006-10-09,4.7052
2006-10-10,2.8695
2006-10-11,-0.8421
2006-10-12,0.0531
2006-10-13,-1.3793
2006-10-16,3.4427
2006-10-17,0.104
2006-10-18,2.5974
2006-10-19,-1.4684
2006-10-20,-1.4902
2006-10-23,-3.0777
2006-10-24,-2.7987
2006-10-25,-4.2082
2006-10-26,4.1618
2006-10-27,-1.4428
2006-10-30,-2.3086
2006-10-31,2.9971
2006-11-01,2.0705
2006-11-02,0.6031
2006-11-03,2.1798
2006-11-06,1.6533
2006-11-07,-4.1448
2006-11-08,-2.0252
2006-11-09,-0.5587
2006-11-10,-1.1798
2006-11-13,0.0569
2006-11-14,-1.1364
2006-11-15,0.5747
2006-11-16,1.0857
2006-11-17,0.9045
2006-11-20,-2.2409
2006-11-21,-1.3181
2006-11-22,7.6074
2006-11-24,3.0221
2006-11-27,-2.3049
2006-11-28,-1.4477
2006-11-29,3.9173
2006-11-30,4.5026
2006-12-01,-1.6032
2006-12-04,-0.4073
2006-12-05,3.118
2006-12-06,-0.5943
2006-12-07,-0.2494
2006-12-08,0.8
2006-12-11,-0.2976
2006-12-12,-0.7463
2006-12-13,0.213
2006-12-14,-0.4627
2006-12-15,-1.2563
2006-12-18,0.2036
2006-12-19,-0.4571
2006-12-20,0.7653
2006-12-21,-0.8608
2006-12-22,0.1532
2006-12-26,0.7139
2006-12-27,0.0
2006-12-28,-0.2532
2006-12-29,1.5735999999999999
2007-01-03,-5.1474
2007-01-04,0.2107
2007-01-05,-0.3155
2007-01-08,2.8481
2007-01-09,-2.6667
2007-01-10,1.6333
2007-01-11,1.7107
2007-01-12,1.1213
2007-01-16,-3.1754
2007-01-17,1.0411
2007-01-18,-2.1123
2007-01-19,-0.0526
2007-01-22,0.2106
2007-01-23,0.2627
2007-01-24,1.782
2007-01-25,1.483
2007-01-26,0.4668
2007-01-29,2.8283
2007-01-30,-1.5226
2007-01-31,-10.6733
2007-02-01,-0.2233
2007-02-02,0.6156
2007-02-05,-0.2781
2007-02-06,0.1115
2007-02-07,-0.4457
2007-02-08,-0.3358
2007-02-09,-1.7967
2007-02-12,-2.8588
2007-02-13,-4.2966
2007-02-14,6.2731
