ticker,GMMVF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-26,-2.0
2019-01-08,-14.2857
2019-01-09,0.0
2019-01-10,4.2857
2019-01-14,-5.0228
2019-01-16,3.3654
2019-01-23,-3.2558
2019-01-31,29.8077
2019-02-06,-3.7037
2019-03-27,-26.9231
2019-04-12,21.0526
2019-06-04,-21.7391
2019-06-10,0.0
2020-01-16,494.4444
2020-01-17,-92.0561
2020-01-21,29.4118
2020-01-22,4.5455
2020-01-23,4.3478
2020-01-24,-8.3333
2020-01-30,0.0
2020-02-03,-18.1818
2020-02-07,5.5556
2020-02-13,57.8947
2020-02-14,-23.3333
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,-4.3478
2020-02-24,-4.5455
2020-02-26,-38.0952
2020-02-27,-61.5385
2020-03-02,320.0
2020-03-06,-14.2857
2020-03-12,-11.1111
2020-03-13,-43.75
2020-03-18,111.1111
2020-03-19,-15.7895
2020-03-23,0.0
2020-03-24,-87.5
2020-03-25,700.0
2020-04-07,0.0
2020-04-27,-23.75
2020-04-28,104.918
2020-05-01,-72.0
2020-05-04,157.1429
2020-05-06,33.3333
2020-05-07,-4.1667
2020-05-11,-8.6957
2020-05-13,-4.7619
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,45.0
2020-05-20,-3.4483
2020-05-21,-3.5714
2020-05-26,-74.0
2020-05-27,-28.49
2020-05-28,417.9283
2020-05-29,-3.8462
2020-06-01,-7.2
2020-06-04,-3.4483
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,-64.2857
2020-06-11,12.5
2020-06-15,148.8889
2020-06-16,0.0
2020-06-24,-63.25
2020-06-29,-14.966
2020-06-30,0.2857
2020-07-06,207.6923
2020-07-07,-0.0463
2020-07-08,-65.2617
2020-07-10,-6.6667
2020-07-14,0.0
2020-07-15,208.5714
2020-07-16,-62.4074
2020-07-17,-13.7931
2020-07-22,0.0
2020-07-31,199.8571
