ticker,WFCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-16,0.0
2006-11-17,15.0
2006-11-20,0.0
2006-11-21,-13.0435
2006-11-22,0.0
2006-11-24,-5.0
2006-11-27,-10.526299999999999
2006-11-28,-23.5294
2006-11-29,55.3846
2006-12-01,-48.5149
2006-12-04,44.2308
2006-12-05,-46.6667
2006-12-06,50.0
2006-12-07,0.0
2006-12-08,25.0
2006-12-11,0.0
2006-12-12,-33.3333
2006-12-13,20.0
2006-12-15,-25.0
2006-12-18,-11.1111
2006-12-19,7.5
2006-12-21,-6.9767
2006-12-27,0.0
2006-12-28,-17.5
2006-12-29,21.2121
2007-01-03,-12.5
2007-01-04,2.8571
2007-01-05,0.0
2007-01-08,-5.5556
2007-01-09,-26.4706
2007-01-10,8.0
2007-01-11,-7.4074
2007-01-12,-8.0
2007-01-17,30.4348
2007-01-18,-10.0
2007-01-22,7.4074
2007-01-23,0.0
2007-01-24,-3.4483
2007-01-25,-10.7143
2007-01-26,0.0
2007-01-29,0.0
2007-01-30,0.0
2007-01-31,-8.0
2007-02-01,8.6957
2007-02-05,0.0
2007-02-07,4.0
2007-02-08,-7.6923
2007-02-09,12.5
2007-02-13,0.0
2007-02-14,-14.8148
2007-02-15,17.3913
2007-02-16,0.0
2007-02-20,0.0
2007-02-21,-11.1111
2007-02-22,-4.1667
2007-02-26,8.6957
2007-02-27,-20.0
2007-02-28,25.0
2007-03-01,-20.0
2007-03-02,10.0
2007-03-06,13.6364
2007-03-07,-20.0
2007-03-08,10.0
2007-03-09,13.6364
2007-03-13,-4.0
2007-03-15,0.0
2007-03-19,-4.1667
2007-03-20,0.0
2007-03-22,4.3478
2007-03-23,-4.1667
2007-03-27,4.3478
2007-03-28,4.1667
2007-04-02,0.0
2007-04-03,0.0
2007-04-04,0.0
2007-04-05,0.0
2007-04-09,4.0
2007-04-10,3.8462
2007-04-11,0.0
2007-04-12,-14.8148
2007-04-13,-4.3478
2007-04-17,13.6364
2007-04-19,0.0
2007-04-20,0.0
2007-04-23,-12.0
2007-04-24,0.0
2007-04-25,-9.0909
2007-04-26,10.0
2007-04-27,0.0
2007-04-30,4.5455
2007-05-03,-13.0435
2007-05-07,-10.0
2007-05-08,-5.5556
2007-05-09,0.0
2007-05-10,0.0
2007-05-14,0.0
2007-05-15,5.8824
2007-05-17,11.1111
2007-05-18,0.0
2007-05-24,-5.0
2007-05-25,0.0
2007-05-29,2.6316
2007-05-30,-2.5641
2007-05-31,31.5789
