ticker,SDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-12,-27.5217
2019-09-13,12.0576
2019-09-16,1.1777
2019-09-17,0.8995
2019-09-18,2.15
2019-09-19,-4.3121
2019-09-20,-2.0923
2019-09-23,-6.0274
2019-09-24,-8.5714
2019-09-25,-7.4936
2019-09-26,-10.7894
2019-09-27,0.4637
2019-09-30,6.7692
2019-10-01,-5.1153
2019-10-02,-1.6324999999999998
2019-10-03,5.7507
2019-10-04,7.4453
2019-10-07,-8.356
2019-10-08,-15.9748
2019-10-09,-3.2201
2019-10-10,-6.7001
2019-10-11,8.7445
2019-10-14,-12.8482
2019-10-15,6.2887
2019-10-16,-3.0068
2019-10-17,-5.9
2019-10-18,0.5313
2019-10-21,-3.4884
2019-10-22,4.0526
2019-10-23,5.4737
2019-10-24,7.984
2019-10-25,5.1756
2019-10-28,5.9754000000000005
2019-10-29,-2.4876
2019-10-30,3.6565
2019-10-31,-4.0607
2019-11-01,7.0543
2019-11-04,4.2332
2019-11-05,-3.5249
2019-11-06,-4.7657
2019-11-07,0.0
2019-11-08,-3.3361
2019-11-11,2.2433
2019-11-12,-6.4979
2019-11-13,-20.3069
2019-11-14,0.6795
2019-11-15,-3.2621
2019-11-18,-6.5116
2019-11-19,11.4428
2019-11-20,0.4464
2019-11-21,-0.1111
2019-11-22,-0.5562
2019-11-25,4.8098
2019-11-26,2.4013
2019-11-27,4.0125
2019-11-29,-0.1002
2019-12-02,-1.1033
2019-12-03,-5.6795
2019-12-04,-7.8495
2019-12-05,-1.7503
2019-12-06,-4.1568
2019-12-09,2.1066
2019-12-10,-3.3981
2019-12-11,2.0101
2019-12-12,-3.9409
2019-12-13,2.5641
2019-12-16,-0.625
2019-12-17,-1.8868
2019-12-18,0.1282
2019-12-19,9.475
2019-12-20,-5.2632
2019-12-23,2.963
2019-12-24,0.9592
2019-12-26,-1.0689
2019-12-27,1.9207999999999998
2019-12-30,-3.1802
2019-12-31,6.326
2020-01-02,-4.8055
2020-01-03,0.7212
2020-01-06,21.599
2020-01-07,-0.4907
2020-01-08,4.5365
2020-01-09,-7.3113
2020-01-10,-6.1578
2020-01-13,10.6291
2020-01-14,14.7059
2020-01-15,17.265
2020-01-16,-3.3528000000000002
2020-01-17,-2.7526
2020-01-21,-1.2796
2020-01-22,6.0487
2020-01-23,1.4074
2020-01-24,-4.5289
2020-01-27,1.4537
2020-01-28,-2.2624
2020-01-29,7.4074
2020-01-30,-3.4483
2020-01-31,-0.372
