ticker,DNLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-08,19.1667
2017-12-11,-2.1445
2017-12-12,-3.9543
2017-12-13,-0.5952
2017-12-14,-5.2395
2017-12-15,0.2633
2017-12-18,-1.7332
2017-12-19,-2.2982
2017-12-20,-3.1729
2017-12-21,-7.0621
2017-12-22,-4.0729
2017-12-26,-2.0279
2017-12-27,2.5225999999999997
2017-12-28,-5.1104
2017-12-29,3.9894
2018-01-02,3.133
2018-01-03,3.2237999999999998
2018-01-04,-3.4234
2018-01-05,4.4776
2018-01-08,-1.9048
2018-01-09,-5.9466
2018-01-10,-0.9032
2018-01-11,7.6172
2018-01-12,3.8113
2018-01-16,-0.3497
2018-01-17,3.0409
2018-01-18,3.9728
2018-01-19,7.8603
2018-01-22,9.1093
2018-01-23,1.3451
2018-01-24,-0.2288
2018-01-25,-2.9817
2018-01-26,4.9645
2018-01-29,7.8829
2018-01-30,-1.1691
2018-01-31,-1.7322
2018-02-01,-8.9424
2018-02-02,-3.7298999999999998
2018-02-05,-5.5419
2018-02-06,0.6231
2018-02-07,4.5924
2018-02-08,3.0587
2018-02-09,2.8722
2018-02-12,-1.2564
2018-02-13,-2.9689
2018-02-14,1.6513
2018-02-15,11.5146
2018-02-16,6.2554
2018-02-20,-4.5161
2018-02-21,-2.7872
2018-02-22,-2.6064
2018-02-23,-0.0892
2018-02-26,-1.0714
2018-02-27,-2.9332000000000003
2018-02-28,6.4156
2018-03-01,-5.7667
2018-03-02,4.7288
2018-03-05,-0.1771
2018-03-06,-2.6164
2018-03-07,-1.776
2018-03-08,-4.6824
2018-03-09,-0.9241
2018-03-12,-0.9327
2018-03-13,-0.2973
2018-03-14,8.7972
2018-03-15,-10.5528
2018-03-16,9.9847
2018-03-19,1.9735
2018-03-20,0.4554
2018-03-21,-1.5866
2018-03-22,-2.4873
2018-03-23,0.803
2018-03-26,-0.8435
2018-03-27,-5.2457
2018-03-28,-1.6958
2018-03-29,-0.1015
2018-04-02,-4.774
2018-04-03,1.9733
2018-04-04,2.5105
2018-04-05,-3.6224
2018-04-06,-4.1292
2018-04-09,1.8222
2018-04-10,6.3991
2018-04-11,-0.5097
2018-04-12,-0.5635
2018-04-13,-1.0819
2018-04-16,-3.0208
2018-04-17,5.4243
2018-04-18,-1.3754
2018-04-19,-0.5165
2018-04-20,2.648
2018-04-23,-1.6186
2018-04-24,-1.2852999999999999
2018-04-25,-4.375
2018-04-26,1.8519
2018-04-27,0.1604
2018-04-30,-1.3348
