ticker,MITT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-30,-1.8
2011-07-01,1.0692
2011-07-05,-0.5038
2011-07-06,-0.1519
2011-07-07,0.2028
2011-07-08,0.7079
2011-07-11,0.2519
2011-07-12,-0.6516
2011-07-13,0.4036
2011-07-14,0.1005
2011-07-15,-0.1004
2011-07-18,0.0
2011-07-19,-0.201
2011-07-20,0.0
2011-07-21,-0.3021
2011-07-22,-0.0505
2011-07-25,-1.3643
2011-07-26,1.1783
2011-07-27,-0.9114
2011-07-28,0.0
2011-07-29,-1.4314
2011-08-01,-0.4659
2011-08-02,0.1042
2011-08-03,0.1561
2011-08-04,-2.0779
2011-08-05,-1.5385
2011-08-08,-0.8621
2011-08-09,3.8043
2011-08-10,-1.0471
2011-08-11,0.6349
2011-08-12,0.8938
2011-08-15,0.5732
2011-08-16,-0.3368
2011-08-17,0.9618
2011-08-18,-1.7765
2011-08-19,-0.3408
2011-08-22,-2.2094
2011-08-23,0.5379
2011-08-24,0.8561
2011-08-25,-1.5385
2011-08-26,0.8621
2011-08-29,-0.1068
2011-08-30,0.7487
2011-08-31,-2.1762
2011-09-01,-2.93
2011-09-02,0.1118
2011-09-06,-1.1167
2011-09-07,3.1056
2011-09-08,-1.3143
2011-09-09,-0.7214
2011-09-12,-0.2236
2011-09-13,2.1849
2011-09-14,-1.7544
2011-09-15,1.3393
2011-09-16,4.4053
2011-09-19,-1.3713
2011-09-20,1.3369
2011-09-21,-2.6385
2011-09-22,1.3008
2011-09-23,-0.6421
2011-09-26,-0.377
2011-09-27,-0.0541
2011-09-28,-1.5143
2011-09-29,3.5935
2011-09-30,1.355
2011-10-03,-3.7433
2011-10-04,3.8889
2011-10-05,-2.0856
2011-10-06,0.2731
2011-10-07,-1.8519
2011-10-10,1.8313000000000001
2011-10-11,-1.3079
2011-10-12,0.2761
2011-10-13,-0.4405
2011-10-14,0.9403
2011-10-17,-0.8767
2011-10-18,0.6081
2011-10-19,-1.044
2011-10-20,0.2221
2011-10-21,1.4958
2011-10-24,1.4192
2011-10-25,-3.4446
2011-10-26,1.9508999999999999
2011-10-27,2.515
2011-10-28,-2.4533
2011-10-31,-0.8201
2011-11-01,-1.4884
2011-11-02,2.1824
2011-11-03,-0.6572
2011-11-04,-1.4333
2011-11-07,-0.6152
2011-11-08,0.2251
2011-11-09,-3.0882
2011-11-10,1.5064
2011-11-11,-1.7123
2011-11-14,9.5819
2011-11-15,1.7488000000000001
2011-11-16,-0.2604
