ticker,REYN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-31,9.8077
2020-02-03,3.7128
2020-02-04,1.5198
2020-02-05,-0.3327
2020-02-06,4.0053
2020-02-07,-3.0809
2020-02-10,4.2715
2020-02-11,-1.429
2020-02-12,-0.6121
2020-02-13,1.4263
2020-02-14,-0.9268
2020-02-18,-0.6774
2020-02-19,-1.8188
2020-02-20,0.2977
2020-02-21,1.4512
2020-02-24,-1.7555
2020-02-25,-0.4302
2020-02-26,-0.3656
2020-02-27,-3.2688
2020-02-28,-0.5172
2020-03-02,-2.149
2020-03-03,-0.5313
2020-03-04,5.8761
2020-03-05,0.8745
2020-03-06,0.5002
2020-03-09,-3.9151
2020-03-10,-3.2113
2020-03-11,1.2487
2020-03-12,-11.6631
2020-03-13,3.1113
2020-03-16,-4.9805
2020-03-17,3.5217
2020-03-18,3.3623
2020-03-19,2.2197
2020-03-20,4.7548
2020-03-23,-4.0386
2020-03-24,-1.3408
2020-03-25,5.8135
2020-03-26,-3.7817
2020-03-27,-1.8538999999999999
2020-03-30,4.4957
2020-03-31,5.4591
2020-04-01,-2.9825
2020-04-02,3.2155
2020-04-03,2.6703
2020-04-06,1.4338
2020-04-07,-1.3807
2020-04-08,-0.0667
2020-04-09,-0.2668
2020-04-13,-0.4013
2020-04-14,-0.8059
2020-04-15,5.8565000000000005
2020-04-16,-4.701
2020-04-17,2.349
2020-04-20,-0.3934
2020-04-21,-0.7242
2020-04-22,1.6909999999999998
2020-04-23,1.2716
2020-04-24,0.5473
2020-04-27,2.6257
2020-04-28,-0.0312
2020-04-29,2.2784
2020-04-30,-1.0375
2020-05-01,1.4184
2020-05-04,3.8005
2020-05-05,-1.8453
2020-05-06,1.2832
2020-05-07,-1.7973
2020-05-08,0.7201
2020-05-11,1.6383999999999999
2020-05-12,0.8792
2020-05-13,-3.1958
2020-05-14,1.1405
2020-05-15,2.2849
2020-05-18,2.1178
2020-05-19,-2.7841
2020-05-20,-0.3799
2020-05-21,-0.9387
2020-05-22,-0.4146
2020-05-26,-0.1189
2020-05-27,2.3519
2020-05-28,-1.0471
2020-05-29,-1.8519
2020-06-01,0.3893
2020-06-02,-0.895
2020-06-03,1.2944
2020-06-04,2.3774
2020-06-05,-4.3832
2020-06-08,-1.5483
2020-06-09,0.0617
2020-06-10,-2.0955
2020-06-11,-1.0072
2020-06-12,-0.1272
2020-06-15,5.4441
2020-06-16,-0.3925
2020-06-17,-0.5153
2020-06-18,3.443
2020-06-19,0.5891
2020-06-22,1.142
2020-06-23,-0.5211
2020-06-24,0.4366
2020-06-25,-0.2898
2020-06-26,-1.7727
2020-06-29,2.1893
2020-06-30,0.579
2020-07-01,-1.2666
2020-07-02,1.7201
2020-07-06,-1.1178
2020-07-07,2.2319
2020-07-08,-1.9989
2020-07-09,-1.5189
2020-07-10,0.7051
2020-07-13,-2.8005
2020-07-14,2.7011
2020-07-15,-0.8036
2020-07-16,-0.6039
2020-07-17,0.0593
2020-07-20,-0.4147
2020-07-21,-1.1303
2020-07-22,-1.444
2020-07-23,0.6716
2020-07-24,0.0606
2020-07-27,0.1212
2020-07-28,0.2119
2020-07-29,3.0202
2020-07-30,0.2639
2020-07-31,-0.4094
