ticker,NSTG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-26,-19.4
2013-06-27,-0.4963
2013-06-28,-0.2494
2013-07-01,1.25
2013-07-02,4.5679
2013-07-03,1.1806
2013-07-05,0.5834
2013-07-08,2.3202
2013-07-09,1.2472
2013-07-10,0.224
2013-07-11,0.9497
2013-07-12,-0.3874
2013-07-15,3.8889
2013-07-16,-1.4973
2013-07-17,0.6515
2013-07-18,2.0496
2013-07-19,-0.2114
2013-07-22,-1.8008
2013-07-23,1.1865999999999999
2013-07-24,1.3859
2013-07-25,-2.4185
2013-07-26,-0.8621
2013-07-29,1.6303999999999998
2013-07-30,-1.6042999999999998
2013-07-31,-0.9783
2013-08-01,-2.3052
2013-08-02,-4.8315
2013-08-05,0.5903
2013-08-06,-6.1033
2013-08-07,-6.0
2013-08-08,0.3989
2013-08-09,-4.106
2013-08-12,-0.6906
2013-08-13,-0.4172
2013-08-14,1.6760000000000002
2013-08-15,0.9615
2013-08-16,5.9864
2013-08-19,-5.7766
2013-08-20,1.6349
2013-08-21,0.8043
2013-08-22,6.516
2013-08-23,4.2447
2013-08-26,-5.1497
2013-08-27,-1.7677
2013-08-28,2.8278
2013-08-29,-4.625
2013-08-30,0.2621
2013-09-03,3.268
2013-09-04,1.3924
2013-09-05,-0.8739
2013-09-06,-4.2821
2013-09-09,0.2632
2013-09-10,70.6037
2013-09-11,-15.3846
2013-09-12,2.0909
2013-09-13,-0.8905
2013-09-16,-1.7071
2013-09-17,-1.7367
2013-09-18,-1.2093
2013-09-19,0.8475
2013-09-20,0.6536
2013-09-23,6.679
2013-09-24,2.1739
2013-09-25,-2.1277
2013-09-26,4.5217
2013-09-27,-3.1614
2013-09-30,-5.4983
2013-10-01,0.9091
2013-10-02,2.2523
2013-10-03,0.3524
2013-10-04,0.0
2013-10-07,2.9851
2013-10-08,-7.2464
2013-10-09,-0.0919
2013-10-10,-1.3799000000000001
2013-10-11,2.6119
2013-10-14,0.3636
2013-10-15,-2.3551
2013-10-16,-0.5566
2013-10-17,1.5857999999999999
2013-10-18,2.3875
2013-10-21,-3.5874
2013-10-22,3.0698
2013-10-23,-2.8881
2013-10-24,-1.8587
2013-10-25,-0.5682
2013-10-28,1.8094999999999999
2013-10-29,-2.9935
2013-10-30,-2.0251
2013-10-31,0.4528
2013-11-01,-2.5083
2013-11-04,3.2161
2013-11-05,-0.6816
2013-11-06,-0.8824
2013-11-07,2.5717
2013-11-08,2.7965
2013-11-11,-2.6266
