ticker,ZOXCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-05-19,-22.2222
2001-01-24,32.1429
2001-03-09,-35.1351
2001-05-10,8.3333
2001-05-14,0.0
2002-01-31,-73.0769
2002-06-13,1214.2857
2003-02-04,-78.8043
2003-07-21,58.9744
2003-08-05,-35.4839
2003-12-08,41.1875
2003-12-12,-0.9739
2003-12-15,0.1341
2004-02-04,-53.5714
2004-04-22,-14.3269
2004-06-23,-12.6824
2004-07-08,2.8278
2006-02-21,-4.0
2006-11-15,184.6354
2006-11-16,6.7246
2006-11-21,2.6147
2006-12-01,2.5898
2006-12-12,-5.5375
2006-12-22,3.4483
2007-01-18,108.5417
2007-01-19,-2.8172
2007-01-23,-14.473700000000001
2007-01-24,-1.0096
2007-01-25,10.7334
2007-01-26,-4.4518
2007-01-29,-11.866
2007-01-30,14.5833
2007-01-31,-2.1818
2007-02-02,-3.3457
2007-02-06,0.0
2007-02-15,15.913499999999999
2007-02-20,25.8192
2007-02-21,37.6298
2007-02-22,-3.2695
2007-02-23,-5.2866
2007-02-26,29.6732
2007-02-27,-6.996
2007-03-01,2.3195
2007-03-02,10.1695
2007-03-07,-14.3269
2007-03-08,-7.9461
2007-03-09,-4.3892
2007-03-12,-9.9592
2007-03-14,2.6059
2007-03-15,4.4168
2007-03-20,-8.3146
2007-03-21,8.4198
2007-03-27,-4.2553
2007-03-28,11.5556
2007-03-29,-4.3202
2007-04-05,25.5433
2007-04-09,-7.2658
2007-04-10,1.9336
2007-04-11,-4.0899
2007-04-12,0.6059
2007-04-16,-1.25
2007-04-17,-9.0679
2007-04-18,24.6646
2007-04-19,6.3850999999999996
2007-04-20,8.0725
2007-04-23,6.4189
2007-04-25,6.1975999999999996
2007-04-26,-1.25
2007-04-27,-2.2627
2007-04-30,1.0199
2007-05-03,28.2051
2007-05-04,10.0
2007-05-07,17.2727
2007-05-08,-2.5824
2007-05-09,9.4942
2007-05-10,-4.4331
2007-05-11,-4.2063
2007-05-14,1.677
2007-05-15,-2.4057
2007-05-17,1.28
2007-05-25,7.425
2007-05-29,0.0
2007-05-31,-7.1691
2007-06-01,7.7228
2007-06-04,0.7353
2007-06-05,12.0301
2007-06-06,-2.0402
2007-06-07,0.2328
2007-06-08,-0.4645
2007-06-11,-3.8583
2007-06-12,-1.4909
2007-06-15,31.9006
2007-06-18,11.7708
2007-06-19,1.7816
2007-06-20,1.5333999999999999
2007-06-21,-0.6642
2007-06-22,-2.4419
2007-06-25,-4.9583
