ticker,WCIG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-02,66.6667
2007-11-05,0.0
2007-11-06,0.0
2007-11-07,0.0
2007-11-09,20.0
2007-11-13,-16.6667
2007-11-16,20.0
2007-11-23,15.0
2007-11-26,59.4203
2007-11-27,-26.3636
2007-11-28,-2.4691
2007-11-29,51.3924
2007-11-30,0.7525
2007-12-03,0.4149
2007-12-04,0.8264
2007-12-05,0.0
2007-12-06,4.918
2007-12-07,16.7188
2007-12-12,-0.2677
2007-12-13,7.3826
2007-12-14,-6.25
2007-12-17,-26.6667
2007-12-20,0.0
2007-12-21,5.4545
2007-12-26,-12.069
2007-12-27,-1.9607999999999999
2007-12-31,0.0
2008-01-04,0.0
2008-01-09,26.0
2008-01-10,19.0476
2008-01-11,13.3333
2008-01-14,29.4118
2008-01-15,-0.9091
2008-01-16,-7.3394
2008-01-17,6.9307
2008-01-18,-5.5556
2008-01-22,0.0
2008-01-23,-0.4902
2008-01-25,-6.4039
2008-01-29,0.0
2008-01-30,-7.3684
2008-01-31,13.2955
2008-02-05,-11.7352
2008-02-06,-3.4091
2008-02-07,-5.8824
2008-02-08,0.0
2008-02-13,-10.0
2008-02-14,-9.7222
2008-02-15,0.0
2008-02-19,7.6923
2008-02-20,-7.1429
2008-02-21,6.9231
2008-02-22,0.7194
2008-02-25,-6.4286
2008-02-26,-0.7634
2008-02-27,0.0
2008-02-28,6.5385
2008-02-29,3.9711
2008-03-03,-16.6667
2008-03-05,0.0
2008-03-06,0.0
2008-03-07,9.1667
2008-03-10,3.8167999999999997
2008-03-11,-1.4706000000000001
2008-03-12,4.4776
2008-03-13,-4.2857
2008-03-14,4.7761
2008-03-17,-0.2849
2008-03-19,-21.1429
2008-03-20,17.7536
2008-03-24,-15.0769
2008-03-25,-0.3623
2008-03-26,-7.2727
2008-03-27,-1.9607999999999999
2008-03-31,20.0
2008-04-01,17.5
2008-04-02,6.383
2008-04-03,13.3333
2008-04-04,3.5294
2008-04-07,-11.3636
2008-04-08,11.538499999999999
2008-04-09,3.4483
2008-04-10,-1.1111
2008-04-11,3.3708
2008-04-14,-1.087
2008-04-15,-1.0989
2008-04-16,0.7778
2008-04-17,-0.7718
2008-04-18,1.1111
2008-04-21,-8.7912
2008-04-22,6.6265
2008-04-23,-3.9548
2008-04-24,0.0
2008-04-25,7.0588
2008-04-28,-1.1126
2008-04-29,0.0139
2008-04-30,5.0
2008-05-01,-4.7619
2008-05-02,5.0
2008-05-05,1.164
