ticker,SOST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-01,-99.0
2015-03-19,1600.0
2015-03-20,0.0
2015-03-23,7.8431
2015-03-24,-45.4545
2015-03-25,0.0
2015-04-17,0.0
2015-10-05,-73.3333
2015-10-13,0.0
2015-11-30,-37.5
2016-01-08,100.0
2016-03-01,0.0
2016-03-04,-80.0
2016-11-16,200.0
2016-11-17,6.6667
2016-11-21,56.25
2016-12-16,2.0
2017-01-20,47.0588
2017-01-25,-32.0
2017-09-19,2.9412000000000003
2017-10-09,-4.7619
2018-07-09,0.0
2019-07-18,17.0
2019-07-22,28.1197
2019-08-02,-33.2221
2019-08-06,1.3986
2019-10-31,-8.867
2019-11-01,99.173
2019-11-05,3.7534
2019-11-06,0.0
2019-11-07,-11.0123
2019-11-08,6.9959
2019-11-11,-4.1209
2019-11-12,-19.1977
2019-12-09,-21.9858
2020-01-23,-9.1818
2020-01-24,15.1151
2020-02-07,107.8043
2020-02-13,16.2151
2020-02-18,8.0205
2020-03-06,-33.0
2020-03-11,7.2139
2020-06-18,53.1323
2020-07-15,21.2121
2020-07-31,-37.5
