ticker,SSTT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-08-18,10.0
2008-08-25,-7.2727
2008-11-21,0.0
2009-01-21,0.0
2009-02-20,200.0
2009-05-01,4.5752
2009-12-30,0.0
2010-09-17,25.0
2010-09-20,24.0
2010-09-21,-45.1613
2010-09-22,-38.2353
2010-09-23,10.4762
2010-09-24,-1.7241
2010-09-27,-12.2807
2010-09-28,-9.5
2010-09-29,-13.8122
2010-09-30,-16.6667
2010-10-01,-6.1538
2010-10-04,3.2787
2010-10-05,-17.4603
2010-10-06,-11.538499999999999
2010-10-07,8.6957
2010-10-08,-20.0
2010-10-11,-5.0
2010-10-12,0.0
2010-10-13,31.5789
2010-10-14,-6.0
2010-10-15,-8.5106
2010-10-18,-23.2558
2010-10-19,0.0
2010-10-20,-21.2121
2010-10-21,-3.8462
2010-10-22,-16.0
2010-10-25,4.7619
2010-10-26,-4.5455
2010-10-27,-4.7619
2010-10-28,-5.0
2010-10-29,-21.0526
2010-11-01,-16.6667
2010-11-02,140.0
2010-11-03,-13.3333
2010-11-04,50.0
2010-11-05,2.5641
2010-11-08,-7.5
2010-11-09,16.2162
2010-11-10,-13.9535
2010-11-11,-5.4054
2010-11-12,-11.0714
2010-11-15,-35.3414
2010-11-16,9.3168
2010-11-17,-9.0909
2010-11-18,8.125
2010-11-19,1.7341
2010-11-22,-3.9773
2010-11-23,8.8757
2010-11-24,0.0
2010-11-26,3.8043
2010-11-29,-7.8534
2010-11-30,4.5455
2010-12-01,4.3478
2010-12-02,-4.1667
2010-12-03,-13.0435
2010-12-06,-10.0
2010-12-07,11.1111
2010-12-08,0.0
2010-12-09,10.0
2010-12-10,-9.0909
2010-12-13,-5.0
2010-12-14,-5.2632
2010-12-15,-2.7778
2010-12-16,1.7856999999999998
2010-12-17,-10.1754
2010-12-20,-12.5
2010-12-21,-1.3393
2010-12-22,-9.5023
2010-12-23,-16.0
2010-12-27,14.2857
2010-12-28,0.0
2010-12-29,29.1667
2010-12-30,-21.371
2010-12-31,62.5641
2011-01-03,36.2776
2011-01-04,-18.5185
2011-01-05,-4.5455
2011-01-06,19.0476
2011-01-07,-14.0
2011-01-10,-3.7791
2011-01-11,-14.8036
2011-01-12,0.0
2011-01-13,14.1844
2011-01-14,-17.0807
2011-01-18,-3.3708
2011-01-19,-2.7132
2011-01-20,-7.5697
2011-01-21,-2.5862
2011-01-24,7.5221
2011-01-25,2.8807
2011-01-26,-6.4
2011-01-27,-8.9744
2011-01-28,-1.4085
