ticker,ISCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-09,8.0
2007-01-10,1.8519
2007-01-11,2.5455
2007-01-12,-0.7092
2007-01-16,0.7143
2007-01-17,2.8369
2007-01-18,0.0
2007-01-19,-1.7241
2007-01-22,1.7544
2007-01-23,6.8966
2007-01-24,0.0
2007-01-25,4.8387
2007-01-26,-1.5385
2007-01-29,-2.5
2007-01-30,4.1667
2007-01-31,-3.0769
2007-02-01,3.1746
2007-02-02,0.0
2007-02-05,0.9231
2007-02-07,-3.9634
2007-02-08,-7.9365
2007-02-12,3.4483
2007-02-14,0.0
2007-02-20,-16.6667
2007-02-21,-2.0
2007-02-22,0.0
2007-02-23,16.7347
2007-02-28,-3.8462
2007-03-02,9.0909
2007-03-05,3.3333
2007-03-06,-16.129
2007-03-07,-3.8462
2007-03-08,0.0
2007-03-14,-12.0
2007-03-15,15.9091
2007-03-19,1.9607999999999999
2007-03-20,5.7692
2007-03-21,12.7273
2007-03-22,-3.2258
2007-03-27,-5.0
2007-03-28,-3.5088
2007-04-02,12.7273
2007-04-03,-4.8387
2007-04-04,1.6949
2007-04-09,-8.3333
2007-04-10,12.7273
2007-04-12,-3.2258
2007-04-13,0.0
2007-04-16,-3.3333
2007-04-19,0.0
2007-04-20,-3.4483
2007-04-30,0.0
2007-05-01,-9.2857
2007-05-02,18.1102
2007-05-03,0.0
2007-05-04,3.3333
2007-05-08,1.6129
2007-05-09,-4.7619
2007-05-10,5.0
2007-05-11,1.5873
2007-05-15,0.0
2007-05-16,-6.25
2007-05-17,0.0
2007-05-18,-1.6667
2007-05-22,1.6949
2007-05-23,-1.6667
2007-05-24,1.6949
2007-05-25,-3.3333
2007-05-30,3.4483
2007-05-31,0.0
2007-06-01,-3.3333
2007-06-04,3.4483
2007-06-05,-2.6667
2007-06-07,2.7397
2007-06-08,-3.3333
2007-06-11,3.4483
2007-06-12,-3.3333
2007-06-13,-1.7241
2007-06-14,3.5088
2007-06-15,1.6949
2007-06-18,0.0
2007-06-26,-0.6667
2007-06-27,-17.7852
2007-06-28,22.449
2007-06-29,-3.3333
2007-07-02,5.1724
2007-07-05,-1.6393
2007-07-06,0.0
2007-07-12,-3.3333
2007-07-13,-34.4828
2007-07-16,4.2105
2007-07-17,-1.5152
2007-07-18,-5.1282
2007-07-19,-21.6216
2007-07-20,6.8966
2007-07-23,-12.9032
2007-07-24,14.8148
2007-07-25,-6.4516
2007-07-26,0.0
2007-07-27,-3.4483
2007-07-30,0.0
