ticker,CITZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-12,0.0
2019-03-20,0.0
2019-03-21,0.0
2019-03-28,0.0
2019-05-13,0.0
2019-06-14,-4.0
2019-06-17,0.0
2019-07-17,0.0
2019-09-16,-2.0833
2019-11-18,-0.4255
2019-11-22,-5.9829
2019-12-27,9.548
2020-01-08,-3.1579
2020-02-05,0.4348
2020-02-07,8.2251
2020-02-18,-6.8
2020-02-27,0.2146
2020-03-02,-0.2141
2020-04-01,-1.2876
2020-05-12,10.8696
2020-05-14,-17.647100000000002
2020-06-19,4.7619
2020-07-09,7.7273
