ticker,TCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.3725
2000-01-04,-3.7773
2000-01-05,1.9628
2000-01-06,0.4255
2000-01-07,-1.6949
2000-01-10,1.2931
2000-01-11,0.4255
2000-01-12,-2.9661
2000-01-13,1.31
2000-01-14,-3.2328
2000-01-18,3.3407999999999998
2000-01-19,2.1552
2000-01-20,-1.2658
2000-01-21,-3.4188
2000-01-24,-1.3274
2000-01-25,2.2422
2000-01-26,-3.5088
2000-01-27,-2.7273
2000-01-28,0.9346
2000-01-31,-3.7037
2000-02-01,-3.125
2000-02-02,4.7146
2000-02-03,1.8957000000000002
2000-02-04,-0.407
2000-02-07,4.6118
2000-02-08,0.4464
2000-02-09,-4.0
2000-02-10,-0.463
2000-02-11,-1.3953
2000-02-14,-1.8868
2000-02-15,-1.4423
2000-02-16,-2.439
2000-02-17,1.5
2000-02-18,-1.4778
2000-02-22,4.0
2000-02-23,1.6827
2000-02-24,-1.6548
2000-02-25,5.7692
2000-02-28,-3.6364
2000-02-29,0.0
2000-03-01,4.6038
2000-03-02,-1.8182
2000-03-03,1.8519
2000-03-06,-6.3636
2000-03-07,-2.4272
2000-03-08,1.4925
2000-03-09,0.0
2000-03-10,-0.9804
2000-03-13,-0.495
2000-03-14,-2.2388
2000-03-15,-15.0127
2000-03-16,23.6527
2000-03-17,10.4116
2000-03-20,-3.9474
2000-03-21,-7.7626
2000-03-22,6.9307
2000-03-23,-4.6296
2000-03-24,-1.9417
2000-03-27,0.9901
2000-03-28,-9.8039
2000-03-29,-0.5435
2000-03-30,2.7321999999999997
2000-03-31,-5.8511
2000-04-03,6.2147
2000-04-04,-3.1915
2000-04-05,3.8462
2000-04-06,0.0
2000-04-07,1.5873
2000-04-10,-3.125
2000-04-11,0.5376
2000-04-12,3.2086
2000-04-13,3.6269
2000-04-14,-0.5
2000-04-17,10.5528
2000-04-18,-5.4545
2000-04-19,-2.4038
2000-04-20,2.4631
2000-04-24,-2.1635
2000-04-25,4.1769
2000-04-26,-1.8868
2000-04-27,3.8462
2000-04-28,1.8519
2000-05-01,2.9545
2000-05-02,-3.532
2000-05-03,0.2288
2000-05-04,0.4566
2000-05-05,2.9545
2000-05-08,-4.415
2000-05-09,-2.0785
2000-05-10,-1.8868
2000-05-11,1.9231
2000-05-12,1.8868
2000-05-15,3.4722
2000-05-16,0.2237
2000-05-17,-2.6786
2000-05-18,-2.9817
2000-05-19,-1.6548
2000-05-22,0.9615
2000-05-23,0.0
