ticker,VTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-28,0.25
2007-06-29,-0.2494
2007-07-02,0.0
2007-07-03,0.05
2007-07-05,-0.05
2007-07-06,0.0
2007-07-09,0.0
2007-07-10,0.0
2007-07-11,0.0
2007-07-12,0.0
2007-07-13,0.0
2007-07-16,0.0
2007-07-17,0.05
2007-07-18,0.1999
2007-07-19,-0.2494
2007-07-20,0.0
2007-07-23,0.0
2007-07-24,0.0
2007-07-25,0.0
2007-07-26,-4.4
2007-07-27,-0.6276
2007-07-30,0.5263
2007-07-31,3.4031000000000002
2007-08-01,-3.7975
2007-08-02,0.0
2007-08-03,-0.1579
2007-08-06,-6.6948
2007-08-07,0.3955
2007-08-08,4.0518
2007-08-09,-4.0022
2007-08-10,0.6197
2007-08-13,0.224
2007-08-14,-0.6145
2007-08-15,-3.0354
2007-08-16,-0.8116
2007-08-17,3.7405
2007-08-20,0.7324
2007-08-21,0.5593
2007-08-22,0.8343
2007-08-23,0.0552
2007-08-24,0.0551
2007-08-27,-1.5977999999999999
2007-08-28,1.9037
2007-08-29,-0.989
2007-08-30,0.0
2007-08-31,1.8313000000000001
2007-09-04,-1.1989
2007-09-05,-0.6067
2007-09-06,0.4994
2007-09-07,-1.1596
2007-09-10,-0.1676
2007-09-11,0.0
2007-09-12,-2.117
2007-09-13,-0.8074
2007-09-14,0.6977
2007-09-17,-1.9053
2007-09-18,0.5297
2007-09-19,0.0585
2007-09-20,-0.1755
2007-09-21,0.1172
2007-09-24,-1.3466
2007-09-25,-0.4748
2007-09-26,0.7752
2007-09-27,-0.2959
2007-09-28,0.4154
2007-10-01,0.8274
2007-10-02,2.6377
2007-10-03,-0.4569
2007-10-04,0.6885
2007-10-05,-1.1396
2007-10-08,-0.1153
2007-10-09,1.558
2007-10-10,-1.0795
2007-10-11,-1.3113000000000001
2007-10-12,0.1174
2007-10-15,-0.2933
2007-10-16,-0.1765
2007-10-17,0.0589
2007-10-18,0.1767
2007-10-19,-0.1764
2007-10-22,-0.6478
2007-10-23,-0.4742
2007-10-24,0.0596
2007-10-25,0.0
2007-10-26,0.5952
2007-10-29,-0.7101
2007-10-30,0.298
2007-10-31,0.3565
2007-11-01,-1.0065
2007-11-02,0.3589
2007-11-05,-1.3707
2007-11-06,0.7855
2007-11-07,-2.6379
2007-11-08,-0.5542
2007-11-09,-1.8576000000000001
2007-11-12,-0.2524
2007-11-13,1.9083
2007-11-14,-0.2506
2007-11-15,-0.5653
2007-11-16,-0.4422
