ticker,BGNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-03,18.0
2016-02-04,7.6977
2016-02-05,11.1803
2016-02-08,-7.0481
2016-02-09,-12.2462
2016-02-10,-2.82
2016-02-11,-10.3423
2016-02-12,-0.4979
2016-02-16,4.7957
2016-02-17,3.7008
2016-02-18,2.2640000000000002
2016-02-19,1.4259
2016-02-22,1.6278000000000001
2016-02-23,-1.1649
2016-02-24,2.5414
2016-02-25,3.9871
2016-02-26,2.7634
2016-02-29,-1.6134
2016-03-01,2.1182
2016-03-02,4.3158
2016-03-03,3.111
2016-03-04,0.6843
2016-03-07,-7.9703
2016-03-08,-3.6589
2016-03-09,0.2439
2016-03-10,-2.6764
2016-03-11,-0.4286
2016-03-14,-3.1564
2016-03-15,-0.8148
2016-03-16,-2.9873
2016-03-17,0.1925
2016-03-18,6.3773
2016-03-21,5.8144
2016-03-22,4.1638
2016-03-23,-7.4376999999999995
2016-03-24,-0.7788
2016-03-28,-3.5676
2016-03-29,2.3677
2016-03-30,3.3609999999999998
2016-03-31,2.4825
2016-04-01,-0.3412
2016-04-04,2.6018
2016-04-05,-1.5349
2016-04-06,7.0146
2016-04-07,-0.8866
2016-04-08,-0.1597
2016-04-11,3.872
2016-04-12,-2.8651
2016-04-13,0.0317
2016-04-14,-0.7926
2016-04-15,2.0134
2016-04-18,-2.6629
2016-04-19,0.2897
2016-04-20,-3.113
2016-04-21,-1.5899
2016-04-22,0.6732
2016-04-25,-3.1428
2016-04-26,-1.2772000000000001
2016-04-27,-4.6503
2016-04-28,-1.4301
2016-04-29,3.2738
2016-05-02,-2.1254
2016-05-03,-2.2819
2016-05-04,-1.0923
2016-05-05,-0.0381
2016-05-06,-0.0381
2016-05-09,5.4497
2016-05-10,0.3614
2016-05-11,1.5124
2016-05-12,-4.7535
2016-05-13,2.4209
2016-05-16,0.5455
2016-05-17,-1.9891999999999999
2016-05-18,0.7749
2016-05-19,-0.8056
2016-05-20,-0.6275
2016-05-23,3.3432
2016-05-24,-0.7189
2016-05-25,0.7603
2016-05-26,-0.8983
2016-05-27,-1.1602999999999999
2016-05-31,3.6317
2016-06-01,4.2832
2016-06-02,5.3293
2016-06-03,2.127
2016-06-06,4.4809
2016-06-07,-1.7517
2016-06-08,-1.4756
2016-06-09,-5.5538
2016-06-10,-1.9822
2016-06-13,-1.5167000000000002
2016-06-14,1.3347
2016-06-15,4.8632
2016-06-16,-3.6393
2016-06-17,3.9439
2016-06-20,-3.6334
2016-06-21,6.006
