ticker,MYGG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-01-20,0.0
2011-02-09,-16.6667
2011-02-28,-30.0
2011-03-01,5.7143
2011-03-02,8.1081
2011-03-03,7.5
2011-03-04,4.6512
2011-03-09,6.6667
2011-03-16,4.1667
2011-03-17,0.0
2011-03-18,18.0
2011-03-21,-6.7797
2011-03-22,0.0
2011-03-24,-9.0909
2011-03-25,0.0
2011-04-04,0.0
2011-04-05,0.0
2011-04-06,4.0
2011-04-07,-3.8462
2011-04-08,0.0
2011-04-11,2.0
2011-04-12,-1.9607999999999999
2011-04-13,0.0
2011-04-14,2.0
2011-04-15,1.9607999999999999
2011-04-18,-4.2308
2011-04-19,0.4016
2011-04-20,2.0
2011-04-21,1.9607999999999999
2011-04-25,7.6923
2011-04-26,0.0
2011-04-27,-0.7143
2011-04-28,1.7986
2011-04-29,2.4735
2011-05-02,-2.4138
2011-05-03,0.7067
2011-05-04,-5.2632
2011-05-05,-7.4074
2011-05-06,7.6
2011-05-09,-3.3457
2011-05-10,5.7692
2011-05-11,-3.6364
2011-05-12,7.5472
2011-05-13,0.0
2011-05-16,-3.5088
2011-05-17,-1.0909
2011-05-18,2.9412000000000003
2011-05-19,-1.7856999999999998
2011-05-20,-1.8182
2011-05-23,0.0
2011-05-24,-3.3333
2011-05-25,-0.3831
2011-05-26,-1.9231
2011-05-27,-3.9215999999999998
2011-05-31,10.2041
2011-06-01,-2.2222
2011-06-02,0.0
2011-06-03,-5.303
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,-4.0
2011-06-10,-10.4167
2011-06-13,-6.9767
2011-06-14,10.0
2011-06-15,-9.0909
2011-06-16,10.0
2011-06-17,4.5455
2011-06-20,6.5217
2011-06-21,-8.1633
2011-06-22,15.5556
2011-06-23,-5.7692
2011-06-24,4.0816
2011-06-27,-7.0588
2011-06-28,5.4852
2011-06-29,-16.0
2011-06-30,11.9048
2011-07-01,1.2766
2011-07-05,0.0
2011-07-06,7.1429
2011-07-07,-9.8039
2011-07-08,4.3478
2011-07-11,-6.25
2011-07-12,6.6667
2011-07-13,-12.5
2011-07-14,-11.9048
2011-07-15,-10.8108
2011-07-18,-19.3939
2011-07-19,-6.015
2011-07-20,0.0
2011-07-21,0.0
2011-07-22,-4.0
2011-07-25,26.6667
2011-07-26,11.8421
2011-07-27,-18.2353
2011-07-28,1.4388
2011-07-29,-11.3475
2011-08-01,12.0
2011-08-02,-10.7143
2011-08-03,12.0
