ticker,HCCCD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-02-22,0.0
2017-02-24,0.0
2017-02-28,12.5
2017-03-01,-2.2222
2017-03-02,4.5455
2017-03-03,-2.1739
2017-03-08,-11.1111
2017-03-09,10.0
2017-03-13,-9.0909
2017-03-14,0.0
2017-03-20,0.0
2017-03-22,-25.0
2017-03-23,0.0
2017-03-24,0.0
2017-04-03,33.3333
2017-04-04,0.0
2017-04-05,0.0
2017-04-07,0.0
2017-04-13,25.0
2017-04-18,0.0
2017-04-26,6.0
2017-05-02,0.0
2017-05-15,0.0
2017-05-25,-62.2642
2017-06-01,94.25
2017-06-06,54.4402
2017-06-07,33.3333
2017-06-13,-48.75
2017-06-15,-2.439
2017-06-20,-25.0
2017-07-17,80.0
2017-08-01,-3.7037
2017-08-14,-3.8462
2017-10-02,-20.0
2017-10-04,-3.45
2017-10-17,-11.9627
2017-10-27,14.7
2017-11-06,-12.816
2017-11-08,0.0
2017-11-14,-1.7647
2017-12-22,1.7964
2017-12-28,61.7647
2018-01-02,0.7273
2018-01-03,-0.722
2018-01-05,0.3636
2018-01-18,0.0
2018-01-23,-1.8115999999999999
2018-01-24,-2.214
2018-02-05,0.3774
2018-02-06,-6.015
2018-02-23,10.0
2018-02-26,9.0909
2018-02-27,0.0
2018-03-02,0.0
2018-03-07,0.0
2018-03-21,0.0
2018-04-02,8.3333
2018-04-04,0.0
2018-04-18,-7.6923
2018-04-19,6.6667
2018-04-27,1.5625
2018-05-01,0.0
2018-05-10,0.0
2018-05-29,-29.2308
2018-07-02,-15.2174
2018-08-06,-23.0769
2018-08-13,-1.6667
2018-08-20,-32.2034
2018-08-22,0.0
2018-11-19,1.0
2018-11-30,-48.4455
2018-12-03,44.0369
2018-12-04,-17.3333
2018-12-06,-13.2097
2018-12-07,123.0069
2018-12-12,4.1667
2018-12-18,-56.0
2018-12-19,69.6909
2018-12-24,-33.5691
2018-12-27,0.0
2019-01-07,-9.5323
2019-01-14,105.0276
2019-02-04,-4.3478
2019-02-05,4.5455
2019-02-08,-39.1304
2019-03-04,-4.6429
2019-03-28,49.8127
2019-04-02,0.0
2019-04-03,0.0
2019-04-17,0.0
2019-05-15,-32.0
2019-05-22,47.0588
2019-07-01,40.0
2019-07-09,7.1429
2019-07-11,-33.3333
2019-07-23,-37.73
2019-08-08,4.3841
2019-08-09,-4.2
2019-08-12,-1.6059
2019-08-13,6.0878
2019-08-14,90.7692
2019-08-15,-19.3548
2019-08-19,-55.98
